Time[s],RateRoll[°/s],RatePitch[°/s],RateYaw[°/s],AccX[m/s^2],AccY[m/s^2],AccZ[m/s^2]
4.65,-0.0,0.09,0.03,-9.02,0.04,-3.86
4.76,-0.02,-0.13,0.17,-9.03,0.02,-3.86
4.88,0.01,-0.11,0.02,-9.03,0.04,-3.84
4.99,-0.0,0.01,-0.04,-9.02,0.05,-3.85
5.1,-0.03,0.01,-0.1,-9.02,0.03,-3.86
5.22,0.01,0.01,-0.01,-9.02,0.02,-3.86
5.33,0.04,-0.07,0.11,-9.02,0.04,-3.84
5.44,0.09,0.03,0.09,-9.02,0.04,-3.87
5.56,0.01,0.04,0.06,-9.01,0.02,-3.86
5.67,-0.03,0.06,-0.12,-9.03,0.02,-3.87
5.78,0.03,-0.0,0.03,-9.02,0.03,-3.85
5.9,0.07,0.03,0.17,-9.02,0.03,-3.84
6.01,-0.03,0.04,-0.12,-9.02,0.02,-3.86
6.13,0.01,-0.1,0.08,-9.02,0.03,-3.86
6.24,-0.05,-0.0,-0.07,-9.03,0.02,-3.84
6.35,-0.02,-0.04,0.0,-9.02,0.02,-3.87
6.47,-0.0,-0.02,0.0,-9.01,0.02,-3.85
6.58,0.04,0.01,0.11,-9.03,0.03,-3.84
6.7,0.01,-0.02,-0.06,-9.02,0.03,-3.85
6.81,-0.02,-0.0,-0.01,-9.03,0.03,-3.83
6.93,0.03,-0.05,0.05,-9.02,0.03,-3.86
7.04,-0.0,-0.0,0.0,-9.01,0.03,-3.87
7.15,-0.05,-0.0,-0.07,-9.03,0.03,-3.85
7.27,-0.03,0.04,-0.07,-9.01,0.02,-3.86
7.38,-0.0,0.01,0.0,-9.02,0.04,-3.86
7.49,-0.03,0.1,-0.06,-9.03,0.01,-3.86
7.61,0.07,-0.08,0.17,-9.01,0.03,-3.85
7.72,-0.03,0.03,-0.07,-9.02,0.02,-3.85
7.84,-0.02,0.03,0.06,-9.01,0.02,-3.85
7.95,-0.03,0.04,-0.1,-9.03,0.02,-3.87
8.06,0.03,0.03,0.05,-9.03,0.02,-3.86
8.18,-0.02,-0.05,0.08,-9.01,0.03,-3.86
8.29,0.01,-0.02,0.06,-9.03,0.02,-3.83
8.41,0.01,-0.0,-0.01,-9.02,0.04,-3.85
8.52,0.01,-0.05,-0.03,-9.03,0.03,-3.87
8.63,-0.03,0.04,-0.06,-9.01,0.04,-3.86
8.75,-0.03,0.04,-0.06,-9.02,0.03,-3.85
8.86,-0.0,-0.02,0.12,-9.02,0.03,-3.85
8.98,0.04,0.04,0.08,-9.01,0.04,-3.86
9.09,-0.0,0.06,-0.01,-9.02,0.03,-3.85
9.2,0.03,0.01,0.09,-9.02,0.02,-3.88
9.32,-0.0,0.03,0.02,-9.02,0.03,-3.85
9.43,-0.02,-0.04,-0.07,-9.03,0.01,-3.86
9.54,0.01,0.03,0.03,-9.02,0.03,-3.84
9.66,-0.05,-0.02,-0.04,-9.03,0.04,-3.86
9.77,-0.0,-0.05,-0.06,-9.01,0.03,-3.86
9.89,-0.05,0.04,-0.01,-9.01,0.02,-3.86
10.0,-0.05,0.04,-0.07,-9.02,0.03,-3.87
10.11,-0.11,-0.05,-0.13,-9.03,0.03,-3.87
10.23,-0.03,-0.02,-0.06,-9.01,0.04,-3.86
10.34,-0.02,0.06,0.0,-9.03,0.04,-3.87
10.46,-0.0,0.03,0.05,-9.01,0.03,-3.86
10.57,-0.02,0.01,0.02,-9.01,0.03,-3.86
10.69,-0.02,0.04,-0.1,-9.02,0.05,-3.85
10.8,-0.05,-0.02,-0.12,-9.02,0.03,-3.87
10.91,0.03,-0.02,0.05,-9.01,0.02,-3.85
11.03,0.01,-0.02,0.08,-9.02,0.02,-3.86
11.14,-0.02,-0.05,0.0,-9.03,0.02,-3.85
11.26,-0.0,-0.07,0.02,-9.02,0.03,-3.84
11.37,-0.03,0.09,-0.12,-9.01,0.03,-3.87
11.48,0.01,-0.04,0.14,-9.03,0.03,-3.84
11.6,-0.05,0.04,-0.09,-9.03,0.02,-3.86
11.71,0.01,0.03,0.09,-9.02,0.04,-3.89
11.83,0.04,-0.04,0.12,-9.02,0.03,-3.87
11.94,0.01,0.01,0.05,-9.02,0.03,-3.86
12.05,0.04,0.04,0.03,-9.01,0.03,-3.88
12.17,-0.06,0.03,-0.07,-9.01,0.02,-3.85
12.28,0.07,-0.13,0.2,-9.01,0.03,-3.85
12.4,-0.0,-0.02,0.05,-9.02,0.02,-3.85
12.51,-0.03,-0.0,-0.04,-9.02,0.02,-3.86
12.62,-0.05,-0.0,-0.18,-9.02,0.02,-3.86
12.74,-0.0,0.04,-0.07,-9.01,0.03,-3.85
12.85,-0.0,0.03,0.03,-9.03,0.02,-3.84
12.97,0.01,-0.04,0.09,-9.02,0.03,-3.85
13.08,-0.02,-0.04,0.0,-9.01,0.03,-3.88
13.19,0.03,-0.0,0.05,-9.02,0.04,-3.85
13.31,0.01,-0.0,0.05,-9.02,0.03,-3.86
13.42,-0.0,0.01,0.0,-9.02,0.02,-3.86
13.54,-0.02,0.01,-0.03,-9.02,0.03,-3.83
13.65,-0.02,-0.0,0.0,-9.03,0.03,-3.85
13.77,0.14,0.1,0.17,-9.03,0.02,-3.86
13.88,0.01,0.13,-0.03,-9.01,0.01,-3.86
13.99,0.17,-0.16,0.34,-9.03,0.02,-3.84
14.11,-0.0,-0.05,0.05,-9.03,0.02,-3.84
14.22,0.01,0.04,0.06,-9.01,0.03,-3.86
14.34,0.03,-0.04,0.11,-9.01,0.03,-3.86
14.45,23.63,33.08,65.21,-9.52,2.29,-5.5
14.56,29.51,-15.45,-19.51,-10.45,-0.15,-4.19
14.68,22.24,-42.98,-32.59,-9.24,-1.02,-3.18
14.79,20.14,-70.71,-25.51,-9.01,-1.31,-2.09
14.91,22.52,-42.87,-25.02,-9.82,-1.7,-0.5
15.02,18.07,-49.87,-11.92,-9.16,-2.22,0.38
15.14,20.41,-48.4,-15.72,-8.84,-2.26,1.57
15.25,25.4,-48.04,-25.59,-8.59,-3.06,2.62
15.37,13.89,-80.89,-46.06,-5.88,-2.48,3.19
15.48,22.9,-13.16,-12.2,-5.93,-3.22,4.09
15.6,27.6,-13.68,6.6,-7.75,-2.71,5.5
15.71,17.63,-26.89,-24.79,-7.64,-3.9,5.51
15.82,7.77,-4.22,4.84,-6.09,-2.45,6.02
15.94,-9.02,0.27,16.43,-5.45,-2.79,5.79
16.05,-8.73,48.88,9.21,-6.18,-3.03,5.0
16.17,-15.76,65.31,22.49,-7.05,-2.44,4.38
16.28,-25.97,118.99,25.27,-8.47,-2.16,2.74
16.4,-36.05,65.93,33.5,-9.54,-2.38,0.73
16.51,-32.86,61.84,36.26,-8.59,-1.55,0.09
16.63,-7.99,77.67,48.75,-9.59,-0.51,-2.4
16.74,-8.58,71.72,29.9,-9.92,-0.24,-3.66
16.85,32.09,-33.84,72.03,-7.97,-1.32,-2.97
16.97,7.04,-1.21,17.67,-9.07,0.35,-4.01
17.08,-0.66,-3.0,-0.47,-9.03,0.36,-3.94
17.2,0.15,-1.09,0.63,-8.93,0.43,-3.97
17.31,-0.23,0.06,-0.78,-8.96,0.39,-3.94
17.43,-0.4,0.22,-1.26,-8.97,0.38,-3.98
17.54,-0.26,0.04,-0.82,-8.97,0.37,-3.95
17.65,-0.19,-0.07,-0.56,-8.97,0.36,-3.97
17.77,-0.14,-0.02,-0.52,-8.97,0.34,-3.96
17.88,-0.15,-0.02,-0.52,-8.97,0.34,-3.98
18.0,-0.11,-0.0,-0.44,-8.97,0.32,-3.96
18.11,-0.09,-0.02,-0.38,-8.98,0.32,-3.96
18.23,-0.06,0.04,-0.3,-8.97,0.32,-3.96
18.34,-0.22,0.07,-0.61,-8.99,0.3,-3.97
18.45,-0.06,-0.02,-0.24,-8.98,0.29,-3.97
18.57,-0.05,-0.07,-0.13,-8.98,0.29,-3.99
18.68,-0.12,0.01,-0.44,-8.98,0.29,-3.97
18.8,-0.06,0.03,-0.29,-8.98,0.28,-3.98
18.91,-0.06,-0.02,-0.23,-8.97,0.28,-3.98
19.02,-0.06,0.01,-0.29,-8.98,0.28,-3.96
19.14,-0.08,-0.02,-0.23,-8.98,0.27,-3.97
19.25,-0.06,0.01,-0.15,-8.98,0.29,-3.96
19.37,-0.08,0.03,-0.23,-8.97,0.26,-3.97
19.48,-0.06,-0.0,-0.21,-8.98,0.26,-3.96
19.6,-0.05,-0.04,-0.1,-8.97,0.26,-3.95
19.71,-0.05,-0.0,-0.04,-8.99,0.25,-3.95
19.82,-0.05,-0.0,-0.15,-8.98,0.24,-3.97
19.94,-0.05,0.03,-0.12,-8.97,0.26,-3.98
20.05,-0.09,-0.02,-0.21,-8.98,0.25,-3.97
20.17,-0.08,0.01,-0.17,-8.98,0.25,-3.96
20.28,-0.02,-0.02,-0.04,-8.98,0.25,-3.96
20.4,-0.06,-0.0,-0.15,-8.99,0.25,-3.97
20.51,-0.03,0.01,-0.15,-8.99,0.26,-3.97
20.62,-0.08,0.04,-0.17,-8.99,0.25,-3.95
20.74,-0.03,0.03,-0.15,-8.97,0.24,-3.96
20.85,-0.05,0.06,-0.12,-8.96,0.23,-3.98
20.97,-0.0,-0.04,0.02,-8.98,0.25,-3.96
21.08,-0.02,0.12,-0.09,-8.97,0.22,-3.98
21.2,-0.35,0.04,-0.84,-9.0,0.24,-3.94
21.31,0.21,-0.14,0.67,-8.98,0.22,-3.95
21.42,-0.09,-0.0,-0.17,-8.97,0.23,-3.96
21.54,-0.11,0.06,-0.39,-8.98,0.23,-3.96
21.65,-0.08,0.03,-0.17,-8.98,0.22,-3.96
21.77,-0.02,0.03,-0.07,-8.98,0.23,-3.96
21.88,-0.02,-0.05,-0.01,-8.99,0.22,-3.96
22.0,0.03,-0.05,0.17,-8.98,0.22,-3.97
22.11,-0.08,0.01,-0.24,-8.99,0.21,-3.95
22.22,-0.12,0.01,-0.33,-8.98,0.23,-3.96
22.34,0.06,-0.07,0.17,-8.99,0.23,-3.98
22.45,-0.0,0.01,-0.01,-8.97,0.22,-3.99
22.56,-0.14,-0.11,-0.32,-8.99,0.21,-3.97
22.68,0.12,0.06,0.19,-8.99,0.2,-3.97
22.79,-0.0,0.06,-0.04,-8.96,0.21,-3.97
22.91,-0.14,0.03,-0.33,-8.97,0.22,-3.96
23.02,-0.0,-0.08,0.16,-8.99,0.2,-3.99
23.14,-0.03,-0.05,-0.03,-8.98,0.21,-3.97
23.25,-0.03,0.01,-0.12,-8.99,0.21,-3.95
23.36,-0.11,0.01,-0.17,-8.99,0.21,-3.96
23.48,-0.02,-0.05,0.0,-8.99,0.22,-3.96
23.59,0.1,-0.14,0.23,-8.99,0.21,-3.96
23.71,-0.11,-0.02,-0.29,-9.01,0.21,-3.95
23.82,-0.06,0.06,-0.17,-9.0,0.2,-3.96
23.94,-0.11,-0.02,-0.21,-8.97,0.2,-3.97
24.05,-0.02,0.1,-0.13,-8.97,0.2,-3.95
24.16,-0.06,-0.05,-0.09,-8.98,0.19,-3.97
24.28,-0.06,-0.08,-0.07,-8.99,0.2,-3.97
24.39,0.03,0.01,0.08,-8.97,0.19,-3.97
24.51,-0.03,-0.04,-0.04,-8.97,0.2,-3.95
24.62,-0.05,-0.05,-0.12,-8.96,0.19,-3.96
24.73,-0.03,-0.07,-0.12,-8.97,0.19,-3.98
24.85,0.01,-0.02,0.09,-8.99,0.19,-3.99
24.96,-0.05,0.04,-0.12,-8.96,0.2,-3.94
25.08,-0.12,-0.0,-0.26,-8.98,0.2,-3.98
25.19,0.06,0.04,0.11,-8.99,0.21,-3.96
25.31,-0.02,0.09,-0.1,-8.97,0.2,-3.97
25.42,-0.08,0.01,-0.15,-8.98,0.2,-3.98
25.53,0.06,-0.04,0.28,-8.98,0.19,-3.96
25.65,-0.02,0.04,-0.03,-8.96,0.2,-3.96
25.76,-0.03,-0.04,-0.06,-8.98,0.18,-3.97
25.88,-0.09,-0.07,-0.18,-8.99,0.17,-3.93
25.99,0.06,0.06,0.08,-8.97,0.21,-3.97
26.1,-0.06,0.01,-0.15,-8.98,0.2,-3.98
26.22,-0.03,-0.05,-0.01,-8.98,0.2,-3.97
26.33,-0.05,-0.07,-0.06,-8.97,0.19,-3.97
26.45,-0.05,0.01,-0.07,-8.98,0.18,-3.97
26.56,0.01,-0.04,0.05,-8.98,0.19,-3.95
26.68,0.04,-0.0,0.11,-8.97,0.19,-3.96
26.79,-0.08,-0.02,-0.17,-8.98,0.2,-3.93
26.9,-0.02,0.04,0.0,-8.98,0.2,-3.98
27.02,0.03,0.01,0.03,-8.98,0.19,-3.95
27.13,0.04,-0.04,0.06,-8.99,0.19,-3.95
27.25,-0.05,-0.04,-0.04,-8.99,0.18,-3.99
27.36,-0.03,0.01,-0.06,-8.99,0.18,-3.95
27.47,-0.06,0.01,-0.17,-8.98,0.19,-3.97
27.59,-0.87,-1.24,-2.3,-9.05,0.19,-3.96
27.7,-0.06,0.41,-0.07,-8.93,0.26,-3.98
27.82,-0.22,0.27,-0.65,-8.97,0.18,-3.98
27.93,-0.23,0.07,-0.67,-8.97,0.18,-3.97
28.05,0.03,-0.05,0.14,-8.97,0.19,-3.96
28.16,-0.03,0.01,0.02,-8.99,0.18,-3.97
28.27,-0.02,-0.04,-0.06,-8.99,0.18,-3.97
28.39,-0.11,-0.14,-0.2,-9.0,0.19,-3.97
28.5,0.01,-0.08,0.05,-8.98,0.18,-3.96
28.62,-0.0,0.07,-0.03,-8.98,0.19,-3.99
28.73,-0.0,0.06,-0.03,-8.98,0.19,-3.96
28.84,-0.02,0.01,-0.06,-8.99,0.17,-3.96
28.96,-0.0,-0.02,0.05,-8.98,0.17,-3.99
29.07,-0.08,0.03,-0.17,-8.99,0.19,-3.96
29.19,-0.0,-0.08,0.03,-8.98,0.18,-3.97
29.3,0.01,-0.02,0.03,-8.96,0.17,-3.98
29.42,-0.0,-0.02,-0.01,-8.98,0.18,-3.96
29.53,-0.0,0.04,0.03,-8.98,0.17,-3.95
29.64,-0.02,-0.04,-0.1,-8.99,0.18,-3.97
29.76,0.03,-0.05,0.12,-8.99,0.19,-3.98
29.87,-0.02,-0.0,-0.03,-8.98,0.18,-3.96
29.99,-0.06,0.01,-0.12,-8.99,0.18,-3.97
30.1,0.03,0.07,0.02,-8.97,0.18,-3.97
30.21,-0.05,0.01,-0.1,-8.97,0.17,-3.97
30.33,-0.0,-0.0,-0.03,-8.97,0.17,-3.98
30.44,-0.0,0.01,0.11,-8.97,0.17,-3.98
30.56,-0.02,0.01,0.03,-8.96,0.18,-3.99
30.67,-0.09,0.01,-0.17,-9.0,0.17,-3.96
30.78,0.06,-0.05,0.09,-9.0,0.17,-3.96
30.9,0.07,-0.04,0.22,-8.97,0.17,-3.96
31.01,0.03,0.01,0.08,-8.97,0.18,-3.96
31.13,-0.06,0.07,-0.13,-8.98,0.17,-3.96
31.24,-0.03,-0.0,-0.01,-8.98,0.18,-3.99
31.35,-0.0,0.01,0.02,-8.99,0.17,-3.97
31.47,0.01,-0.07,-0.01,-8.99,0.17,-3.96
31.58,-0.02,0.01,-0.01,-8.99,0.18,-3.95
31.7,-0.0,-0.07,0.02,-8.99,0.19,-3.96
31.81,0.01,0.03,0.03,-8.98,0.17,-3.99
31.92,-0.02,0.07,-0.06,-8.99,0.17,-3.96
32.04,-0.02,0.04,-0.06,-8.96,0.18,-3.95
32.15,-0.0,0.01,0.0,-8.96,0.18,-3.97
32.27,0.04,-0.04,0.12,-8.98,0.17,-3.96
32.38,-0.05,0.06,-0.12,-8.98,0.17,-3.97
32.5,-0.03,0.07,-0.13,-8.97,0.17,-3.97
32.61,-0.03,-0.04,-0.04,-8.98,0.18,-3.95
32.72,-0.02,-0.08,0.0,-8.98,0.16,-3.97
32.84,0.01,-0.0,0.08,-8.97,0.17,-3.98
32.95,-0.0,-0.11,-0.01,-8.97,0.17,-3.95
33.07,-0.0,-0.07,0.09,-8.98,0.17,-3.98
33.18,-0.03,0.1,-0.03,-8.97,0.18,-3.96
33.29,-0.02,-0.02,-0.03,-8.97,0.17,-3.97
33.41,0.03,0.01,0.12,-8.99,0.17,-3.96
33.52,0.06,-0.05,0.16,-8.99,0.18,-3.97
33.64,-0.09,-0.04,-0.18,-8.97,0.19,-3.96
33.75,-0.06,-0.02,-0.09,-8.98,0.17,-3.98
33.87,0.01,-0.02,0.05,-8.98,0.17,-3.96
33.98,-0.02,-0.13,0.05,-8.98,0.17,-3.97
34.09,0.01,-0.07,0.11,-8.98,0.17,-3.95
34.21,0.01,-0.04,0.06,-8.96,0.17,-3.98
34.32,-0.0,0.01,0.06,-8.97,0.19,-3.94
34.44,-0.03,-0.0,-0.06,-8.98,0.17,-3.95
34.55,-0.05,0.01,-0.09,-8.98,0.18,-3.94
34.66,-0.0,0.01,0.03,-8.98,0.17,-3.94
34.78,0.01,-0.02,-0.07,-8.97,0.16,-3.97
34.89,-0.0,-0.04,0.03,-8.98,0.18,-3.97
35.01,-0.02,-0.02,-0.04,-8.99,0.17,-3.95
35.12,-0.03,0.03,-0.03,-8.98,0.16,-3.98
35.24,-0.02,-0.02,-0.01,-9.01,0.17,-3.98
35.35,-0.03,0.01,-0.07,-8.98,0.16,-3.95
35.46,0.03,-0.05,0.03,-8.98,0.16,-3.95
35.58,0.01,-0.0,0.0,-8.98,0.15,-3.97
35.69,-0.05,-0.02,-0.12,-8.97,0.17,-3.98
35.81,-0.0,0.01,0.0,-8.99,0.17,-3.97
35.92,0.06,0.04,0.12,-8.98,0.16,-3.97
36.03,-0.03,-0.0,-0.06,-8.98,0.18,-3.95
36.15,-0.06,-0.04,-0.04,-8.96,0.16,-3.97
36.26,0.03,-0.04,0.14,-8.98,0.16,-3.98
36.38,-0.02,0.01,-0.06,-8.98,0.16,-3.97
36.49,-0.05,-0.05,-0.07,-8.98,0.16,-3.98
36.6,-0.05,-0.02,-0.09,-8.99,0.17,-3.97
36.72,0.09,-0.02,0.22,-8.97,0.16,-3.96
36.83,0.01,0.04,-0.01,-8.98,0.17,-3.98
36.95,-0.02,0.01,-0.1,-8.98,0.16,-3.97
37.06,0.03,0.01,0.0,-8.98,0.16,-3.98
37.18,0.03,-0.0,0.02,-8.97,0.17,-3.96
37.29,-0.05,-0.0,-0.03,-8.98,0.16,-3.99
37.4,0.01,-0.0,0.12,-8.98,0.16,-3.96
37.52,-0.0,-0.11,0.0,-8.99,0.16,-3.98
37.63,-0.05,0.01,-0.06,-8.98,0.16,-3.96
37.75,0.01,-0.0,0.0,-8.97,0.18,-3.97
37.86,0.06,0.03,0.11,-8.98,0.16,-3.95
37.97,0.03,-0.05,0.16,-8.97,0.15,-3.98
38.09,-0.03,-0.0,-0.15,-8.97,0.16,-3.97
38.2,0.03,0.01,0.06,-8.98,0.17,-3.97
38.32,-0.08,0.01,-0.13,-8.98,0.16,-3.97
38.43,0.04,0.01,0.11,-8.98,0.15,-3.94
38.54,-0.03,-0.0,-0.09,-8.98,0.17,-3.94
38.66,-0.0,-0.08,0.05,-8.98,0.15,-3.98
38.77,-0.06,-0.07,-0.15,-8.99,0.17,-3.95
38.89,0.06,0.06,0.11,-8.97,0.18,-3.96
39.0,0.01,0.01,0.0,-8.98,0.16,-3.96
39.11,0.01,0.03,0.05,-8.98,0.16,-3.95
39.23,0.01,0.01,0.02,-8.98,0.16,-3.96
39.34,0.04,-0.02,0.11,-8.99,0.16,-3.96
39.46,-0.08,0.03,-0.17,-8.98,0.16,-3.99
39.57,-0.12,-0.04,-0.23,-8.98,0.16,-3.96
39.69,-0.02,-0.04,-0.03,-8.98,0.17,-3.96
39.8,0.01,-0.02,0.08,-8.98,0.16,-3.98
39.91,-0.05,-0.0,-0.1,-8.98,0.16,-3.97
40.03,-0.03,-0.0,-0.04,-8.97,0.15,-3.96
40.14,-0.0,-0.0,0.06,-8.99,0.17,-3.97
40.26,-0.02,0.01,0.05,-8.99,0.17,-3.98
40.37,-0.02,-0.0,0.02,-8.97,0.16,-3.97
40.48,0.01,0.01,0.05,-8.97,0.18,-3.98
40.6,0.01,-0.0,0.0,-8.98,0.15,-3.95
40.71,-0.02,-0.0,-0.03,-8.99,0.18,-3.96
40.83,-0.0,-0.05,0.0,-8.99,0.16,-3.99
40.94,-0.02,-0.0,-0.03,-8.97,0.15,-3.95
41.05,0.01,0.03,0.0,-8.99,0.15,-3.97
41.17,-0.06,0.03,-0.06,-8.98,0.16,-3.97
41.28,-0.0,-0.0,-0.01,-8.98,0.16,-3.95
41.4,-0.02,-0.02,0.0,-8.96,0.15,-3.97
41.51,-0.0,0.04,0.05,-8.98,0.17,-3.96
41.63,-0.02,-0.0,-0.03,-8.97,0.16,-3.98
41.74,-0.02,-0.02,0.0,-8.98,0.16,-3.97
41.85,-0.05,-0.04,-0.01,-8.98,0.16,-3.96
41.97,-0.06,-0.0,-0.06,-8.97,0.17,-3.96
42.08,-0.02,0.01,0.03,-8.98,0.16,-3.97
42.2,-0.03,-0.04,-0.07,-8.97,0.16,-3.98
42.31,-0.02,-0.07,-0.06,-8.97,0.16,-3.96
42.43,-0.02,0.01,0.03,-8.99,0.16,-3.98
42.54,-0.08,-0.04,-0.12,-8.97,0.17,-3.97
42.65,-0.08,0.01,-0.15,-8.98,0.15,-3.98
42.77,0.06,0.01,0.06,-8.98,0.15,-3.97
42.88,0.03,0.01,0.05,-8.97,0.16,-3.97
42.99,-0.06,0.06,-0.17,-8.97,0.17,-3.98
43.11,-0.08,0.04,-0.1,-8.98,0.17,-3.95
43.22,-0.02,-0.05,0.05,-8.97,0.16,-3.96
43.34,-0.0,0.01,0.02,-8.97,0.16,-3.98
43.45,0.03,-0.02,0.14,-8.97,0.17,-3.96
43.56,-0.02,-0.05,0.03,-9.0,0.15,-3.97
43.68,-0.03,0.01,-0.07,-8.98,0.15,-3.99
43.79,0.01,0.01,0.03,-8.97,0.15,-3.97
43.91,0.03,-0.02,0.08,-8.98,0.16,-3.97
44.02,-0.0,0.03,0.06,-8.98,0.16,-3.97
44.13,-0.05,-0.02,-0.1,-8.99,0.15,-3.95
44.25,-0.02,-0.0,0.0,-8.97,0.16,-3.97
44.36,-0.05,-0.08,-0.15,-8.99,0.16,-3.97
44.48,-0.08,-0.11,-0.1,-8.97,0.15,-3.96
44.59,-0.02,0.03,-0.12,-8.97,0.16,-3.98
44.71,-0.06,0.01,-0.09,-8.97,0.14,-3.96
44.82,0.03,0.01,0.06,-8.98,0.16,-3.96
44.94,-0.46,-0.28,-1.11,-9.0,0.16,-3.98
45.05,0.07,-0.2,0.29,-8.97,0.17,-3.97
45.16,-0.0,-0.0,0.06,-8.97,0.15,-3.95
45.28,-0.05,0.12,-0.23,-8.99,0.15,-3.97
45.39,0.09,0.07,0.23,-8.98,0.17,-3.96
45.51,-0.12,-0.07,-0.21,-8.98,0.16,-3.97
45.62,-0.02,-0.08,0.0,-8.97,0.16,-3.97
45.73,-0.02,-0.0,0.0,-8.98,0.17,-3.98
45.85,-0.0,-0.02,0.02,-8.99,0.15,-3.97
45.96,-0.02,-0.0,-0.03,-8.98,0.16,-3.96
46.08,-0.0,-0.05,0.0,-8.97,0.16,-3.96
46.19,-0.09,-0.0,-0.13,-8.98,0.16,-3.97
46.31,-0.03,0.01,-0.04,-8.98,0.14,-3.97
46.42,-0.03,-0.07,0.0,-8.99,0.16,-3.96
46.53,-0.06,-0.07,-0.06,-8.98,0.16,-3.96
46.65,0.01,0.03,0.0,-8.97,0.16,-3.98
46.76,-0.0,-0.0,0.08,-8.97,0.16,-3.97
46.88,-0.03,0.01,-0.07,-8.98,0.16,-3.98
46.99,-0.03,-0.1,-0.04,-8.98,0.15,-3.97
47.1,-0.02,-0.08,-0.04,-8.97,0.16,-3.96
47.22,0.03,-0.04,0.09,-8.97,0.16,-3.98
47.33,-0.0,0.03,-0.06,-8.97,0.16,-3.97
47.45,-0.02,-0.04,-0.03,-8.98,0.16,-3.97
47.56,0.03,-0.02,0.06,-8.98,0.16,-3.96
47.68,0.03,0.03,0.08,-8.97,0.16,-3.97
47.79,-0.02,-0.04,0.0,-8.98,0.14,-3.96
47.9,-0.03,-0.02,-0.07,-8.99,0.14,-3.98
48.02,0.01,-0.0,0.05,-8.97,0.16,-3.96
48.13,0.04,-0.05,0.02,-8.97,0.14,-3.99
48.25,-0.0,-0.08,-0.03,-8.99,0.16,-3.95
48.36,0.01,-0.05,0.05,-8.97,0.15,-3.96
48.47,-0.03,0.01,-0.06,-8.97,0.16,-3.95
48.59,-0.08,0.04,-0.1,-8.98,0.16,-3.97
48.7,0.03,0.01,0.06,-8.98,0.15,-3.96
48.82,-0.02,0.01,-0.01,-8.98,0.15,-3.96
48.93,-0.0,-0.02,-0.03,-8.98,0.15,-3.97
49.04,-0.09,0.01,-0.13,-8.97,0.16,-3.96
49.16,0.03,-0.04,-0.06,-8.98,0.16,-3.96
49.27,-0.03,-0.0,0.0,-8.99,0.15,-3.96
49.39,0.01,-0.05,0.05,-8.99,0.15,-3.99
49.5,-0.03,0.03,-0.09,-8.97,0.15,-3.97
49.61,0.01,-0.0,0.03,-8.98,0.16,-3.97
49.73,0.03,-0.02,0.08,-8.99,0.16,-3.97
49.84,-0.05,-0.02,0.0,-8.98,0.14,-3.97
49.96,-0.05,-0.0,-0.06,-9.0,0.15,-3.96
50.07,0.03,-0.02,0.09,-8.98,0.16,-3.96
50.19,0.07,-0.02,0.2,-8.97,0.16,-3.97
50.3,-0.03,-0.0,-0.03,-8.99,0.16,-3.96
