Time[s],RateRoll[deg/s],RatePitch[deg/s],RateYaw[deg/s],AccX[m/s^2],AccY[m/s^2],AccZ[m/s^2],Torque[Nm]
1359.99,1.25,-0.52,0.49,0.86,-9.3,-2.19,-0.02
1360.13,1.22,-0.48,0.47,0.85,-9.29,-2.18,-0.02
1360.27,1.2,-0.49,0.45,0.85,-9.29,-2.18,-0.02
1360.41,1.18,-0.54,0.43,0.86,-9.29,-2.17,-0.02
1360.55,1.18,-0.56,0.43,0.87,-9.29,-2.16,-0.02
1360.68,1.2,-0.58,0.48,0.88,-9.29,-2.16,-0.02
1360.82,1.23,-0.58,0.5,0.87,-9.29,-2.17,-0.02
1360.96,1.18,-0.58,0.47,0.87,-9.29,-2.19,-0.02
1361.09,1.12,-0.57,0.45,0.86,-9.29,-2.2,-0.02
1361.23,1.11,-0.6,0.47,0.86,-9.29,-2.22,-0.02
1361.37,1.15,-0.63,0.51,0.85,-9.28,-2.23,-0.02
1361.51,1.2,-0.63,0.53,0.84,-9.28,-2.21,-0.02
1361.64,1.22,-0.59,0.54,0.82,-9.28,-2.21,-0.02
1361.78,1.25,-0.56,0.56,0.8,-9.31,-2.21,-0.02
1361.92,1.27,-0.55,0.52,0.81,-9.33,-2.21,-0.02
1362.06,1.22,-0.57,0.49,0.84,-9.33,-2.19,-0.02
1362.19,1.17,-0.57,0.51,0.84,-9.32,-2.18,-0.02
1362.33,1.18,-0.54,0.52,0.85,-9.31,-2.17,-0.02
1362.47,1.22,-0.55,0.5,0.86,-9.3,-2.19,-0.02
1362.61,1.25,-0.58,0.46,0.86,-9.28,-2.2,-0.02
1362.74,1.29,-0.62,0.4,0.85,-9.27,-2.19,-0.02
1362.88,1.3,-0.68,0.36,0.83,-9.3,-2.18,-0.02
1363.02,1.24,-0.72,0.4,0.82,-9.33,-2.17,-0.02
1363.16,1.18,-0.71,0.47,0.82,-9.33,-2.17,-0.02
1363.29,1.16,-0.68,0.52,0.83,-9.32,-2.16,-0.02
1363.43,1.16,-0.65,0.52,0.85,-9.3,-2.17,-0.02
1363.57,1.21,-0.64,0.49,0.84,-9.3,-2.19,-0.02
1363.7,1.28,-0.63,0.46,0.83,-9.3,-2.2,-0.02
1363.84,1.31,-0.62,0.46,0.83,-9.3,-2.17,-0.02
1363.98,1.26,-0.59,0.46,0.84,-9.3,-2.14,-0.02
1364.12,1.21,-0.57,0.44,0.83,-9.3,-2.14,-0.02
1364.26,1.21,-0.6,0.45,0.82,-9.29,-2.16,-0.02
1364.39,1.2,-0.64,0.46,0.82,-9.29,-2.17,-0.02
1364.53,1.14,-0.66,0.46,0.83,-9.29,-2.17,-0.02
1364.67,1.09,-0.66,0.49,0.83,-9.29,-2.18,-0.02
1364.81,1.11,-0.67,0.5,0.83,-9.3,-2.19,-0.02
1364.94,1.14,-0.7,0.49,0.83,-9.31,-2.2,-0.02
1365.08,1.16,-0.72,0.52,0.82,-9.3,-2.19,-0.02
1365.22,1.14,-0.69,0.54,0.83,-9.3,-2.17,-0.02
1365.36,1.12,-0.63,0.55,0.84,-9.28,-2.15,-0.02
1365.49,1.13,-0.61,0.53,0.85,-9.26,-2.14,-0.02
1365.63,1.18,-0.64,0.49,0.85,-9.26,-2.15,-0.02
1365.77,1.22,-0.69,0.46,0.83,-9.24,-2.16,-0.02
1365.91,1.2,-0.74,0.46,0.83,-9.26,-2.17,-0.02
1366.04,1.18,-0.74,0.43,0.85,-9.3,-2.17,-0.02
1366.18,1.18,-0.68,0.37,0.85,-9.33,-2.17,-0.02
1366.32,1.16,-0.64,0.35,0.84,-9.32,-2.17,-0.02
1366.46,1.16,-0.65,0.37,0.85,-9.31,-2.17,-0.02
1366.59,1.21,-0.68,0.41,0.87,-9.31,-2.16,-0.02
1366.73,1.29,-0.71,0.49,0.87,-9.3,-2.15,-0.02
1366.87,1.33,-0.71,0.55,0.86,-9.3,-2.15,-0.02
1367.01,1.31,-0.66,0.58,0.84,-9.31,-2.15,-0.02
1367.14,1.25,-0.59,0.58,0.82,-9.31,-2.18,-0.02
1367.28,1.19,-0.56,0.55,0.82,-9.31,-2.2,-0.02
1367.42,1.18,-0.56,0.5,0.83,-9.29,-2.22,-0.02
1367.56,1.19,-0.58,0.46,0.85,-9.28,-2.22,-0.02
1367.69,1.18,-0.6,0.45,0.87,-9.28,-2.22,-0.02
1367.83,1.19,-0.6,0.48,0.88,-9.27,-2.22,-0.02
1367.97,1.22,-0.62,0.5,0.89,-9.28,-2.24,-0.02
1368.11,1.23,-0.69,0.5,0.88,-9.29,-2.26,-0.02
1368.24,1.2,-0.73,0.46,0.87,-9.31,-2.23,-0.02
1368.38,1.17,-0.71,0.45,0.86,-9.3,-2.2,-0.02
1368.52,1.19,-0.69,0.44,0.85,-9.31,-2.2,-0.02
1368.66,1.21,-0.69,0.41,0.85,-9.31,-2.21,-0.02
1368.79,1.22,-0.68,0.41,0.84,-9.3,-2.21,-0.02
1368.93,1.26,-0.67,0.44,0.83,-9.3,-2.19,-0.02
1369.07,1.27,-0.66,0.47,0.83,-9.3,-2.17,-0.02
1369.21,1.21,-0.61,0.49,0.83,-9.29,-2.17,-0.02
1369.34,1.15,-0.54,0.5,0.84,-9.28,-2.18,-0.02
1369.48,1.12,-0.52,0.48,0.85,-9.28,-2.19,-0.02
1369.62,1.11,-0.56,0.48,0.84,-9.28,-2.2,-0.02
1369.76,1.11,-0.63,0.51,0.83,-9.27,-2.2,-0.02
1369.89,1.11,-0.66,0.51,0.83,-9.25,-2.2,-0.02
1370.03,1.12,-0.63,0.48,0.84,-9.26,-2.18,-0.02
1370.17,1.12,-0.6,0.47,0.84,-9.29,-2.18,-0.02
1370.31,1.09,-0.61,0.47,0.84,-9.3,-2.19,-0.02
1370.44,1.1,-0.61,0.49,0.83,-9.31,-2.19,-0.02
1370.58,1.15,-0.61,0.51,0.84,-9.31,-2.17,-0.02
1370.72,1.22,-0.62,0.52,0.86,-9.32,-2.17,-0.02
1370.86,1.25,-0.63,0.51,0.86,-9.34,-2.16,-0.02
1370.99,1.26,-0.62,0.47,0.85,-9.33,-2.14,-0.02
1371.13,1.26,-0.57,0.45,0.84,-9.31,-2.15,-0.02
1371.27,1.25,-0.56,0.46,0.82,-9.28,-2.17,-0.02
1371.41,1.23,-0.58,0.47,0.81,-9.27,-2.19,-0.02
1371.54,1.22,-0.6,0.47,0.82,-9.27,-2.19,-0.02
1371.68,1.21,-0.61,0.47,0.84,-9.28,-2.18,-0.02
1371.82,1.22,-0.63,0.45,0.86,-9.27,-2.19,-0.02
1371.96,1.23,-0.64,0.42,0.88,-9.26,-2.19,-0.02
1372.09,1.25,-0.62,0.43,0.88,-9.26,-2.19,-0.02
1372.23,1.27,-0.63,0.51,0.87,-9.28,-2.19,-0.02
1372.37,1.25,-0.65,0.59,0.85,-9.29,-2.2,-0.02
1372.51,1.2,-0.67,0.6,0.84,-9.3,-2.22,-0.02
1372.64,1.16,-0.67,0.55,0.84,-9.31,-2.22,-0.02
1372.78,1.15,-0.64,0.47,0.85,-9.31,-2.2,-0.02
1372.92,1.18,-0.61,0.44,0.86,-9.32,-2.17,-0.02
1373.06,1.21,-0.63,0.47,0.86,-9.32,-2.17,-0.02
1373.19,1.21,-0.66,0.52,0.85,-9.32,-2.16,-0.02
1373.33,1.21,-0.67,0.54,0.85,-9.31,-2.15,-0.02
1373.47,1.21,-0.67,0.52,0.85,-9.32,-2.14,-0.02
1373.61,1.23,-0.66,0.51,0.83,-9.33,-2.13,-0.02
1373.74,1.24,-0.63,0.52,0.84,-9.33,-2.12,-0.02
1373.88,1.24,-0.62,0.53,0.85,-9.31,-2.12,-0.02
1374.02,1.21,-0.64,0.55,0.86,-9.3,-2.14,-0.02
1374.16,1.2,-0.64,0.54,0.85,-9.3,-2.15,-0.02
1374.29,1.25,-0.61,0.5,0.84,-9.31,-2.16,-0.02
1374.43,1.27,-0.61,0.48,0.84,-9.31,-2.16,-0.02
1374.57,1.24,-0.64,0.48,0.83,-9.29,-2.17,-0.02
1374.71,1.2,-0.65,0.49,0.82,-9.29,-2.17,-0.02
1374.84,1.2,-0.65,0.5,0.82,-9.3,-2.16,-0.02
1374.98,1.21,-0.64,0.48,0.84,-9.3,-2.14,-0.02
1375.12,1.16,-0.64,0.48,0.85,-9.3,-2.14,-0.02
1375.26,1.13,-0.64,0.47,0.86,-9.29,-2.16,-0.02
1375.39,1.19,-0.63,0.45,0.87,-9.28,-2.18,-0.02
1375.53,1.24,-0.65,0.44,0.85,-9.28,-2.19,-0.02
1375.67,1.22,-0.72,0.43,0.84,-9.29,-2.19,-0.02
1375.81,1.19,-0.79,0.46,0.84,-9.3,-2.19,-0.02
1375.94,1.2,-0.79,0.51,0.84,-9.3,-2.19,-0.02
1376.08,1.2,-0.74,0.53,0.85,-9.3,-2.18,-0.02
1376.22,1.19,-0.69,0.49,0.86,-9.3,-2.16,-0.02
1376.35,1.2,-0.64,0.49,0.86,-9.31,-2.15,-0.02
1376.49,1.21,-0.64,0.55,0.86,-9.32,-2.15,-0.02
1376.63,1.21,-0.66,0.59,0.86,-9.32,-2.16,-0.02
1376.77,1.2,-0.68,0.57,0.86,-9.32,-2.17,-0.02
1376.91,1.19,-0.71,0.52,0.86,-9.31,-2.16,-0.02
1377.04,1.19,-0.69,0.46,0.85,-9.29,-2.16,-0.02
1377.18,1.2,-0.65,0.43,0.85,-9.28,-2.16,-0.02
1377.32,1.2,-0.65,0.42,0.84,-9.27,-2.16,-0.02
1377.45,1.18,-0.64,0.37,0.84,-9.28,-2.15,-0.02
1377.59,1.2,-0.61,0.35,0.85,-9.29,-2.14,-0.02
1377.73,1.22,-0.55,0.39,0.86,-9.3,-2.14,-0.02
1377.87,1.23,-0.53,0.46,0.88,-9.3,-2.16,-0.02
1378.01,1.24,-0.58,0.49,0.88,-9.29,-2.18,-0.02
1378.14,1.24,-0.62,0.49,0.87,-9.28,-2.2,-0.02
1378.28,1.23,-0.59,0.48,0.85,-9.26,-2.2,-0.02
1378.42,1.22,-0.56,0.48,0.84,-9.25,-2.19,-0.02
1378.56,1.21,-0.61,0.49,0.84,-9.26,-2.2,-0.02
1378.69,1.19,-0.67,0.51,0.86,-9.29,-2.18,-0.02
1378.83,1.17,-0.66,0.5,0.88,-9.3,-2.15,-0.02
1378.97,1.19,-0.64,0.51,0.87,-9.3,-2.14,-0.02
1379.1,1.24,-0.61,0.51,0.86,-9.3,-2.15,-0.02
1379.24,1.28,-0.59,0.49,0.85,-9.31,-2.16,-0.02
1379.38,1.29,-0.56,0.47,0.86,-9.32,-2.17,-0.02
1379.52,1.26,-0.51,0.49,0.86,-9.32,-2.17,-0.02
1379.66,1.24,-0.49,0.46,0.85,-9.32,-2.17,-0.02
1379.79,1.22,-0.52,0.41,0.85,-9.31,-2.17,-0.02
1379.93,1.22,-0.56,0.42,0.85,-9.31,-2.17,-0.02
1380.07,1.23,-0.58,0.49,0.86,-9.3,-2.18,-0.02
1380.2,1.22,-0.58,0.56,0.86,-9.29,-2.19,-0.02
1380.34,1.18,-0.61,0.57,0.86,-9.28,-2.18,-0.02
1380.48,1.17,-0.61,0.52,0.86,-9.28,-2.17,-0.02
1380.62,1.17,-0.59,0.5,0.86,-9.29,-2.17,-0.02
1380.76,1.18,-0.59,0.5,0.86,-9.3,-2.17,-0.02
1380.89,1.21,-0.56,0.46,0.86,-9.3,-2.17,-0.02
1381.03,1.19,-0.52,0.44,0.85,-9.3,-2.18,-0.02
1381.17,1.18,-0.54,0.45,0.85,-9.29,-2.18,-0.02
1381.31,1.19,-0.6,0.48,0.86,-9.28,-2.18,-0.02
1381.44,1.23,-0.61,0.46,0.86,-9.29,-2.16,-0.02
1381.58,1.25,-0.59,0.4,0.87,-9.32,-2.13,-0.02
1381.72,1.25,-0.58,0.42,0.88,-9.32,-2.13,-0.02
1381.85,1.23,-0.57,0.51,0.88,-9.31,-2.14,-0.02
1381.99,1.23,-0.57,0.54,0.87,-9.29,-2.15,-0.02
1382.13,1.24,-0.59,0.48,0.86,-9.28,-2.15,-0.02
1382.27,1.23,-0.62,0.45,0.83,-9.28,-2.17,-0.02
1382.41,1.2,-0.62,0.5,0.82,-9.28,-2.2,-0.02
1382.54,1.19,-0.6,0.54,0.84,-9.28,-2.2,-0.02
1382.68,1.23,-0.59,0.53,0.86,-9.27,-2.2,-0.02
1382.82,1.27,-0.6,0.47,0.86,-9.27,-2.2,-0.02
1382.96,1.26,-0.63,0.41,0.85,-9.28,-2.2,-0.02
1383.09,1.22,-0.64,0.38,0.83,-9.29,-2.18,-0.02
1383.23,1.19,-0.65,0.41,0.83,-9.29,-2.15,-0.02
1383.37,1.16,-0.65,0.49,0.82,-9.29,-2.11,-0.02
1383.51,1.12,-0.61,0.54,0.82,-9.29,-2.1,-0.02
1383.64,1.11,-0.57,0.52,0.81,-9.3,-2.11,-0.02
1383.78,1.14,-0.6,0.5,0.8,-9.31,-2.15,-0.02
1383.92,1.18,-0.65,0.49,0.81,-9.32,-2.18,-0.02
1384.06,1.19,-0.65,0.47,0.83,-9.32,-2.19,-0.02
1384.19,1.19,-0.63,0.5,0.85,-9.32,-2.19,-0.02
1384.33,1.17,-0.64,0.52,0.86,-9.31,-2.18,-0.02
1384.47,1.15,-0.64,0.49,0.87,-9.3,-2.19,-0.02
1384.61,1.14,-0.64,0.47,0.87,-9.29,-2.19,-0.02
1384.74,1.16,-0.65,0.47,0.87,-9.29,-2.2,-0.02
1384.88,1.2,-0.63,0.44,0.87,-9.29,-2.21,-0.02
1385.02,1.22,-0.64,0.43,0.87,-9.28,-2.2,-0.02
1385.16,1.23,-0.69,0.43,0.86,-9.28,-2.17,-0.02
1385.29,1.22,-0.7,0.42,0.85,-9.27,-2.15,-0.02
1385.43,1.22,-0.69,0.47,0.85,-9.27,-2.17,-0.02
1385.57,1.25,-0.66,0.54,0.86,-9.28,-2.2,-0.02
1385.7,1.28,-0.63,0.53,0.86,-9.29,-2.22,-0.02
1385.84,1.29,-0.61,0.5,0.87,-9.29,-2.24,-0.02
1385.98,1.29,-0.62,0.52,0.87,-9.3,-2.23,-0.02
1386.12,1.3,-0.63,0.55,0.86,-9.3,-2.21,-0.02
1386.26,1.29,-0.6,0.54,0.84,-9.3,-2.21,-0.02
1386.39,1.26,-0.56,0.51,0.81,-9.3,-2.21,-0.02
1386.53,1.19,-0.55,0.53,0.81,-9.3,-2.21,-0.02
1386.67,1.11,-0.58,0.57,0.82,-9.28,-2.21,-0.02
1386.81,1.1,-0.59,0.54,0.84,-9.27,-2.21,-0.02
1386.94,1.16,-0.58,0.47,0.85,-9.28,-2.2,-0.02
1387.08,1.21,-0.6,0.47,0.85,-9.29,-2.18,-0.02
1387.22,1.21,-0.61,0.5,0.85,-9.3,-2.16,-0.02
1387.35,1.21,-0.58,0.51,0.86,-9.31,-2.16,-0.02
1387.49,1.22,-0.55,0.49,0.86,-9.3,-2.18,-0.02
1387.63,1.2,-0.58,0.46,0.86,-9.3,-2.19,-0.02
1387.77,1.17,-0.65,0.46,0.86,-9.29,-2.2,-0.02
1387.9,1.21,-0.72,0.47,0.86,-9.29,-2.2,-0.02
1388.04,1.28,-0.75,0.46,0.85,-9.3,-2.19,-0.02
1388.18,1.32,-0.74,0.44,0.84,-9.29,-2.17,-0.02
1388.32,1.31,-0.69,0.42,0.83,-9.28,-2.14,-0.02
1388.45,1.26,-0.65,0.46,0.82,-9.27,-2.14,-0.02
1388.59,1.22,-0.65,0.51,0.82,-9.28,-2.15,-0.02
1388.73,1.23,-0.63,0.55,0.82,-9.29,-2.16,-0.02
1388.87,1.26,-0.58,0.6,0.84,-9.3,-2.17,-0.02
1389.0,1.27,-0.55,0.57,0.87,-9.31,-2.18,-0.02
1389.14,1.25,-0.55,0.5,0.87,-9.31,-2.18,-0.02
1389.28,1.24,-0.58,0.47,0.87,-9.31,-2.18,-0.02
1389.42,1.24,-0.58,0.45,0.86,-9.3,-2.17,-0.02
1389.55,1.23,-0.57,0.43,0.86,-9.3,-2.15,-0.02
1389.69,1.22,-0.58,0.44,0.85,-9.31,-2.15,-0.02
1389.83,1.21,-0.57,0.49,0.84,-9.31,-2.17,-0.02
1389.97,1.18,-0.56,0.49,0.82,-9.31,-2.18,-0.02
1390.1,1.16,-0.59,0.47,0.83,-9.32,-2.2,-0.02
1390.24,1.19,-0.64,0.5,0.84,-9.32,-2.2,-0.02
1390.38,1.23,-0.69,0.6,0.84,-9.3,-2.19,-0.02
1390.52,1.23,-0.75,0.76,0.84,-9.28,-2.18,-0.02
1390.65,1.21,-0.78,0.79,0.82,-9.3,-2.17,-0.02
1390.79,1.18,-0.74,0.62,0.83,-9.33,-2.18,-0.02
1390.93,1.18,-0.69,0.49,0.84,-9.34,-2.17,-0.02
1391.07,1.22,-0.65,0.49,0.85,-9.34,-2.18,-0.02
1391.2,1.25,-0.61,0.5,0.86,-9.35,-2.18,-0.02
1391.34,1.25,-0.6,0.51,0.86,-9.36,-2.18,-0.02
1391.48,1.26,-0.6,0.53,0.86,-9.34,-2.18,-0.02
1391.62,1.25,-0.6,0.54,0.86,-9.31,-2.18,-0.02
1391.75,1.21,-0.58,0.5,0.85,-9.29,-2.17,-0.02
1391.89,1.18,-0.58,0.46,0.84,-9.3,-2.15,-0.02
1392.03,1.19,-0.62,0.5,0.83,-9.3,-2.14,-0.02
1392.17,1.21,-0.66,0.54,0.82,-9.3,-2.16,-0.02
1392.3,1.23,-0.66,0.49,0.82,-9.3,-2.17,-0.02
1392.44,1.22,-0.68,0.46,0.83,-9.3,-2.17,-0.02
1392.58,1.21,-0.71,0.49,0.84,-9.3,-2.16,-0.02
1392.71,1.22,-0.7,0.54,0.85,-9.29,-2.15,-0.02
1392.85,1.25,-0.66,0.62,0.85,-9.29,-2.14,-0.02
1392.99,1.28,-0.65,0.73,0.84,-9.3,-2.14,-0.02
1393.13,1.34,-0.67,0.74,0.82,-9.33,-2.15,-0.02
1393.26,1.37,-0.65,0.57,0.83,-9.34,-2.17,-0.02
1393.4,1.33,-0.65,0.42,0.84,-9.33,-2.19,-0.02
1393.54,1.28,-0.66,0.39,0.86,-9.32,-2.18,-0.02
1393.68,1.23,-0.65,0.43,0.87,-9.31,-2.17,-0.02
1393.81,1.17,-0.62,0.49,0.87,-9.29,-2.17,-0.02
1393.95,1.11,-0.63,0.52,0.87,-9.28,-2.17,-0.02
1394.09,1.11,-0.68,0.47,0.85,-9.29,-2.19,-0.02
1394.23,1.13,-0.71,0.38,0.84,-9.3,-2.18,-0.02
1394.36,1.15,-0.68,0.35,0.84,-9.29,-2.18,-0.02
1394.5,1.12,-0.66,0.45,0.84,-9.29,-2.17,-0.02
1394.64,1.1,-0.64,0.53,0.85,-9.29,-2.17,-0.02
1394.78,1.12,-0.64,0.5,0.86,-9.29,-2.17,-0.02
1394.91,1.18,-0.66,0.51,0.86,-9.29,-2.18,-0.02
1395.05,1.21,-0.65,0.54,0.85,-9.3,-2.19,-0.02
1395.19,1.2,-0.61,0.52,0.83,-9.3,-2.21,-0.02
1395.33,1.18,-0.61,0.5,0.81,-9.28,-2.2,-0.02
1395.46,1.18,-0.61,0.47,0.82,-9.27,-2.19,-0.02
1395.6,1.19,-0.57,0.44,0.83,-9.28,-2.18,-0.02
1395.74,1.22,-0.54,0.46,0.85,-9.29,-2.17,-0.02
1395.88,1.25,-0.52,0.48,0.87,-9.29,-2.18,-0.02
1396.01,1.25,-0.53,0.48,0.89,-9.28,-2.18,-0.02
1396.15,1.25,-0.59,0.45,0.88,-9.28,-2.19,-0.02
1396.29,1.27,-0.61,0.4,0.86,-9.28,-2.18,-0.02
1396.43,1.25,-0.58,0.39,0.84,-9.29,-2.16,-0.02
1396.56,1.19,-0.56,0.44,0.83,-9.29,-2.15,-0.02
1396.7,1.16,-0.55,0.48,0.84,-9.28,-2.15,-0.02
1396.84,1.15,-0.53,0.51,0.85,-9.28,-2.16,-0.02
1396.98,1.14,-0.51,0.52,0.84,-9.29,-2.16,-0.02
1397.11,1.15,-0.5,0.5,0.83,-9.31,-2.17,-0.02
1397.25,1.15,-0.54,0.5,0.83,-9.32,-2.18,-0.02
1397.39,1.16,-0.57,0.55,0.84,-9.33,-2.19,-0.02
1397.53,1.18,-0.54,0.56,0.86,-9.32,-2.2,-0.02
1397.66,1.16,-0.52,0.55,0.87,-9.31,-2.19,-0.02
1397.8,1.08,-0.57,0.7,0.87,-9.3,-2.16,-0.02
1397.94,1.06,-0.62,0.88,0.89,-9.31,-2.14,-0.02
1398.07,1.12,-0.59,0.74,0.89,-9.32,-2.14,-0.02
1398.21,1.17,-0.54,0.46,0.88,-9.31,-2.15,-0.02
1398.35,1.17,-0.52,0.37,0.86,-9.3,-2.17,-0.02
1398.49,1.16,-0.52,0.4,0.84,-9.3,-2.18,-0.02
1398.63,1.19,-0.54,0.45,0.84,-9.3,-2.18,-0.02
1398.76,1.22,-0.57,0.51,0.86,-9.32,-2.18,-0.02
1398.9,1.25,-0.61,0.59,0.85,-9.34,-2.19,-0.02
1399.04,1.29,-0.6,0.63,0.85,-9.34,-2.21,-0.02
1399.17,1.33,-0.56,0.58,0.85,-9.33,-2.18,-0.02
1399.31,1.32,-0.56,0.55,0.84,-9.31,-2.14,-0.02
1399.45,1.3,-0.57,0.48,0.83,-9.3,-2.12,-0.02
1399.59,1.26,-0.55,0.44,0.83,-9.28,-2.14,-0.02
1399.72,1.22,-0.55,0.46,0.83,-9.28,-2.17,-0.02
1399.86,1.21,-0.58,0.46,0.84,-9.29,-2.18,-0.02
1400.0,1.2,-0.64,0.45,0.84,-9.29,-2.19,-0.02
1400.14,1.18,-0.68,0.45,0.84,-9.29,-2.17,-0.02
1400.27,1.14,-0.69,0.46,0.85,-9.3,-2.15,-0.02
1400.41,1.08,-0.62,0.44,0.86,-9.31,-2.16,-0.02
1400.55,1.08,-0.54,0.44,0.85,-9.31,-2.16,-0.02
1400.69,1.09,-0.54,0.46,0.85,-9.31,-2.16,-0.02
1400.82,1.11,-0.56,0.46,0.85,-9.31,-2.16,-0.02
1400.96,1.09,-0.61,0.46,0.84,-9.3,-2.17,-0.02
1401.1,1.07,-0.68,0.53,0.83,-9.28,-2.16,-0.02
1401.24,1.12,-0.69,0.57,0.84,-9.25,-2.16,-0.02
1401.37,1.2,-0.64,0.52,0.84,-9.25,-2.16,-0.02
1401.51,1.24,-0.59,0.47,0.84,-9.26,-2.15,-0.02
1401.65,1.26,-0.57,0.5,0.85,-9.27,-2.14,-0.02
1401.79,1.25,-0.55,0.52,0.85,-9.28,-2.15,-0.02
1401.92,1.22,-0.54,0.53,0.86,-9.28,-2.19,-0.02
1402.06,1.19,-0.57,0.53,0.85,-9.28,-2.2,-0.02
1402.2,1.17,-0.58,0.49,0.84,-9.29,-2.19,-0.02
1402.34,1.19,-0.6,0.46,0.84,-9.3,-2.18,-0.02
1402.47,1.22,-0.64,0.48,0.83,-9.29,-2.18,-0.02
1402.61,1.22,-0.67,0.5,0.82,-9.28,-2.18,-0.02
1402.75,1.21,-0.68,0.51,0.82,-9.27,-2.19,-0.02
1402.89,1.16,-0.68,0.53,0.82,-9.27,-2.18,-0.02
1403.02,1.1,-0.67,0.52,0.84,-9.28,-2.16,-0.02
1403.16,1.09,-0.64,0.5,0.85,-9.3,-2.16,-0.02
1403.3,1.1,-0.61,0.43,0.84,-9.32,-2.18,-0.02
1403.44,1.14,-0.6,0.37,0.84,-9.33,-2.19,-0.02
1403.57,1.2,-0.62,0.44,0.84,-9.32,-2.17,-0.02
1403.71,1.24,-0.63,0.52,0.85,-9.32,-2.15,-0.02
1403.85,1.26,-0.63,0.52,0.84,-9.32,-2.15,-0.02
1403.99,1.25,-0.61,0.52,0.84,-9.33,-2.16,-0.02
1404.12,1.22,-0.6,0.52,0.83,-9.32,-2.18,-0.02
