Time[s],RateRoll[°/s],RatePitch[°/s],RateYaw[°/s],AccX[m/s^2],AccY[m/s^2],AccZ[m/s^2]
22.57,3.84,-68.42,-104.93,-7.07,-6.47,-3.25
22.69,60.73,-62.23,-94.81,-5.58,-8.09,-1.57
22.81,105.43,-41.76,-70.59,-4.29,-8.82,0.75
22.92,114.3,-22.46,-37.77,-2.91,-8.22,3.22
23.04,89.53,8.39,-9.25,-1.87,-6.89,5.15
23.16,50.77,56.5,6.17,-2.09,-5.76,6.09
23.27,10.68,99.93,15.01,-3.66,-4.94,5.96
23.39,-28.7,117.52,23.23,-5.9,-4.3,4.83
23.5,-63.1,104.86,27.24,-7.85,-3.98,3.03
23.62,-84.13,73.16,26.2,-8.98,-3.84,1.05
23.74,-93.44,39.76,21.08,-9.36,-3.72,-0.83
23.85,-98.84,15.67,8.3,-9.29,-3.63,-2.4
23.97,-96.13,-1.01,-16.04,-9.19,-3.72,-3.57
24.09,-74.72,-18.43,-50.62,-8.86,-4.1,-4.25
24.2,-39.16,-36.03,-82.46,-7.82,-4.83,-4.28
24.32,-1.52,-43.03,-100.16,-6.42,-6.05,-3.75
24.44,29.7,-33.89,-107.36,-5.07,-7.53,-2.83
24.55,54.49,-15.3,-102.52,-3.71,-8.67,-1.6
24.67,80.78,5.3,-76.82,-2.55,-9.13,-0.07
24.78,102.68,30.36,-40.03,-1.91,-8.83,1.61
24.9,105.17,56.56,-8.55,-1.95,-7.95,3.1
25.02,85.6,70.44,15.77,-2.55,-6.97,4.09
25.13,52.27,70.71,37.03,-3.56,-6.13,4.45
25.25,16.2,65.97,49.77,-4.94,-5.65,4.12
25.37,-12.58,57.13,47.43,-6.38,-5.53,3.24
25.48,-28.85,42.37,36.03,-7.43,-5.47,2.19
25.6,-33.82,26.39,24.88,-7.94,-5.33,1.28
25.71,-33.1,14.71,15.97,-8.15,-5.2,0.59
25.83,-30.89,7.86,8.37,-8.23,-5.17,0.04
25.95,-26.94,3.45,2.22,-8.22,-5.22,-0.39
26.06,-21.99,0.38,-2.87,-8.13,-5.3,-0.72
26.18,-17.97,-1.81,-6.51,-8.01,-5.35,-1.0
26.29,-14.85,-3.26,-8.05,-7.9,-5.41,-1.21
26.41,-14.43,-2.88,-7.31,-7.79,-5.5,-1.35
26.53,-16.64,-1.06,-5.09,-7.69,-5.58,-1.45
26.64,-16.19,0.44,-4.28,-7.67,-5.63,-1.59
26.76,-12.32,0.05,-4.82,-7.71,-5.75,-1.78
26.88,-7.95,-2.85,-4.2,-7.71,-5.96,-1.97
26.99,-3.92,-5.98,-2.61,-7.67,-6.07,-2.04
27.11,-14.6,0.39,-0.41,-7.61,-5.56,-2.05
27.22,-53.43,0.05,7.43,-7.0,-4.25,-2.85
27.34,-70.52,-14.8,46.8,-6.02,-2.93,-4.98
27.46,-33.51,-9.75,105.25,-6.0,-2.15,-6.81
27.57,4.49,4.7,118.77,-6.76,-1.63,-7.12
27.69,19.41,5.64,86.62,-7.26,-0.91,-6.8
27.8,21.84,4.25,46.72,-7.57,-0.19,-6.43
27.92,15.51,3.99,15.13,-7.87,0.16,-6.08
28.04,8.11,2.59,-1.69,-8.08,0.23,-5.86
28.15,2.83,0.74,-6.96,-8.19,0.19,-5.75
28.27,-0.02,-0.35,-6.44,-8.23,0.13,-5.71
28.38,-1.04,-0.81,-3.91,-8.23,0.08,-5.71
28.5,-1.05,-0.88,-1.49,-8.22,0.06,-5.72
28.62,-0.71,-0.76,0.07,-8.21,0.05,-5.73
28.73,-0.33,-0.6,0.79,-8.21,0.05,-5.73
28.85,-0.07,-0.43,0.96,-8.21,0.06,-5.73
28.96,0.08,-0.32,0.91,-8.21,0.07,-5.72
29.08,0.14,-0.28,0.79,-8.21,0.08,-5.71
29.2,0.13,-0.21,0.6,-8.21,0.09,-5.71
29.31,0.1,-0.15,0.43,-8.22,0.09,-5.7
29.43,0.06,-0.13,0.37,-8.22,0.1,-5.69
29.54,0.04,-0.1,0.38,-8.22,0.1,-5.69
29.66,0.03,-0.13,0.41,-8.22,0.11,-5.68
29.77,0.02,-0.18,0.4,-8.23,0.11,-5.68
29.89,-0.0,-0.19,0.31,-8.23,0.11,-5.67
30.0,-0.02,-0.17,0.22,-8.23,0.11,-5.67
30.12,-0.03,-0.14,0.17,-8.24,0.12,-5.67
30.24,-0.03,-0.11,0.14,-8.24,0.12,-5.67
30.35,-0.04,-0.09,0.09,-8.23,0.12,-5.67
30.47,-0.04,-0.05,0.05,-8.23,0.12,-5.66
30.58,-0.03,-0.06,0.09,-8.23,0.12,-5.66
30.7,0.02,-0.15,0.25,-8.23,0.13,-5.66
30.82,0.03,-0.17,0.3,-8.23,0.13,-5.67
30.93,-0.02,-0.04,0.15,-8.24,0.14,-5.67
31.05,-0.05,0.01,0.08,-8.24,0.14,-5.67
31.16,-0.04,-0.06,0.18,-8.24,0.13,-5.67
31.28,-0.02,-0.1,0.23,-8.24,0.13,-5.67
31.39,-0.04,-0.06,0.15,-8.24,0.14,-5.66
31.51,-0.05,-0.05,0.1,-8.23,0.14,-5.66
31.63,-0.02,-0.07,0.15,-8.23,0.14,-5.65
31.74,-0.01,-0.08,0.18,-8.23,0.14,-5.65
31.86,0.0,-0.12,0.22,-8.24,0.15,-5.65
31.97,0.02,-0.22,0.33,-8.24,0.15,-5.65
32.09,0.03,-0.27,0.39,-8.24,0.16,-5.65
32.2,0.01,-0.2,0.29,-8.25,0.16,-5.65
32.32,-0.04,-0.05,0.1,-8.25,0.16,-5.65
32.44,-0.07,0.07,-0.05,-8.25,0.16,-5.65
32.55,-0.08,0.1,-0.1,-8.25,0.16,-5.65
32.67,-0.08,0.07,-0.08,-8.25,0.16,-5.65
32.78,-0.08,0.04,-0.05,-8.25,0.16,-5.65
32.9,-0.07,0.01,-0.03,-8.25,0.16,-5.65
33.02,-0.07,-0.0,-0.01,-8.25,0.16,-5.65
33.13,-0.05,-0.01,-0.0,-8.25,0.16,-5.64
33.25,-0.05,-0.01,0.01,-8.25,0.16,-5.64
33.36,-0.03,-0.05,0.07,-8.25,0.16,-5.65
33.48,-0.0,-0.13,0.18,-8.25,0.16,-5.64
33.6,0.0,-0.17,0.22,-8.25,0.16,-5.64
33.71,-0.02,-0.11,0.16,-8.25,0.17,-5.64
33.83,-0.05,-0.04,0.08,-8.25,0.17,-5.64
33.94,-0.06,0.02,0.03,-8.25,0.17,-5.64
34.06,-0.07,0.02,0.04,-8.24,0.17,-5.64
34.17,-0.06,-0.0,0.05,-8.24,0.17,-5.64
34.29,-0.06,-0.01,0.05,-8.25,0.17,-5.64
34.4,-0.06,-0.01,0.07,-8.25,0.17,-5.64
34.52,-0.05,-0.01,0.07,-8.25,0.17,-5.64
34.64,-0.05,-0.01,0.06,-8.25,0.18,-5.64
34.75,-0.05,-0.01,0.04,-8.25,0.18,-5.64
34.87,-0.05,-0.02,0.03,-8.25,0.18,-5.63
34.98,-0.04,-0.02,0.04,-8.25,0.18,-5.63
35.1,-0.04,-0.02,0.04,-8.25,0.17,-5.63
35.22,-0.03,-0.03,0.05,-8.25,0.17,-5.63
35.33,-0.04,-0.04,0.04,-8.25,0.17,-5.63
35.45,-0.04,-0.03,0.03,-8.25,0.18,-5.63
35.56,-0.04,-0.03,0.05,-8.25,0.18,-5.64
35.68,-0.04,-0.04,0.05,-8.25,0.18,-5.64
35.79,-0.05,-0.04,0.03,-8.25,0.18,-5.64
35.91,-0.06,-0.02,0.0,-8.25,0.18,-5.63
36.03,-0.06,0.0,0.0,-8.25,0.18,-5.63
36.14,-0.06,0.01,0.0,-8.25,0.17,-5.62
36.26,-0.07,0.01,-0.0,-8.25,0.17,-5.62
36.37,-0.07,0.01,0.0,-8.25,0.18,-5.63
36.49,-0.07,-0.0,0.01,-8.25,0.18,-5.63
36.6,-0.06,-0.01,0.02,-8.26,0.18,-5.63
36.72,-0.06,-0.01,0.02,-8.26,0.18,-5.63
36.84,-0.05,-0.01,0.02,-8.26,0.18,-5.63
36.95,-0.05,-0.0,-0.0,-8.26,0.18,-5.63
37.07,-0.05,0.0,-0.02,-8.26,0.18,-5.63
37.18,-0.05,-0.0,-0.02,-8.26,0.18,-5.63
37.3,-0.05,-0.02,0.0,-8.26,0.18,-5.63
37.42,-0.03,-0.06,0.07,-8.26,0.18,-5.62
37.53,-0.0,-0.14,0.2,-8.26,0.19,-5.61
37.65,0.02,-0.17,0.27,-8.26,0.19,-5.61
37.76,0.01,-0.13,0.24,-8.26,0.2,-5.61
37.88,-0.03,-0.06,0.14,-8.27,0.2,-5.61
37.99,-0.06,0.01,0.04,-8.27,0.2,-5.62
38.11,-0.07,0.04,-0.01,-8.26,0.19,-5.62
38.23,-0.07,0.02,-0.02,-8.26,0.18,-5.62
38.34,-0.08,0.0,-0.01,-8.26,0.18,-5.61
38.46,-0.08,0.01,-0.02,-8.26,0.19,-5.61
38.57,-0.1,0.05,-0.09,-8.25,0.19,-5.62
38.69,-0.12,0.09,-0.16,-8.25,0.19,-5.62
38.81,-0.13,0.09,-0.17,-8.25,0.18,-5.62
38.92,-0.11,0.07,-0.11,-8.25,0.18,-5.63
39.04,-0.09,0.04,-0.05,-8.25,0.18,-5.63
39.15,-0.07,0.02,-0.02,-8.25,0.18,-5.62
39.27,-0.07,0.01,-0.03,-8.25,0.18,-5.62
39.38,-0.07,0.02,-0.05,-8.26,0.18,-5.62
39.5,-0.08,0.05,-0.11,-8.26,0.18,-5.61
39.62,-0.09,0.07,-0.15,-8.26,0.19,-5.61
39.73,-0.1,0.07,-0.16,-8.26,0.19,-5.61
39.85,-0.09,0.05,-0.1,-8.26,0.19,-5.62
39.96,-0.05,-0.05,0.04,-8.26,0.19,-5.62
40.08,-0.01,-0.17,0.21,-8.27,0.19,-5.62
40.2,0.01,-0.22,0.29,-8.27,0.19,-5.62
40.31,0.01,-0.18,0.26,-8.27,0.2,-5.61
40.43,-0.01,-0.11,0.17,-8.27,0.2,-5.61
40.54,-0.02,-0.04,0.08,-8.27,0.21,-5.6
40.66,-0.04,0.0,0.01,-8.27,0.21,-5.6
40.77,-0.05,0.02,-0.01,-8.27,0.21,-5.6
40.89,-0.06,0.02,0.0,-8.26,0.2,-5.6
41.01,-0.06,0.03,0.01,-8.26,0.2,-5.61
41.12,-0.07,0.02,-0.02,-8.26,0.21,-5.61
41.24,-0.09,0.02,-0.06,-8.26,0.21,-5.61
41.35,-0.11,0.02,-0.07,-8.26,0.2,-5.61
41.47,-0.1,0.0,-0.05,-8.26,0.2,-5.61
41.58,-0.09,-0.02,-0.01,-8.26,0.2,-5.61
41.7,-0.07,-0.03,0.02,-8.26,0.2,-5.6
41.82,-0.07,-0.04,0.03,-8.26,0.2,-5.6
41.93,-0.07,-0.04,0.03,-8.26,0.2,-5.6
42.05,-0.07,-0.04,0.05,-8.27,0.2,-5.6
42.16,-0.06,-0.04,0.09,-8.27,0.2,-5.61
42.28,-0.04,-0.04,0.12,-8.27,0.2,-5.61
42.4,-0.04,-0.04,0.09,-8.27,0.2,-5.61
42.51,-0.06,-0.04,0.02,-8.27,0.21,-5.6
42.63,-0.1,0.04,-0.15,-8.27,0.21,-5.6
42.74,-0.14,0.11,-0.23,-8.27,0.21,-5.6
42.86,-0.08,-0.06,0.03,-8.27,0.2,-5.6
42.97,-0.01,-0.29,0.33,-8.26,0.2,-5.6
43.09,-0.0,-0.28,0.33,-8.26,0.21,-5.6
43.21,-0.03,-0.16,0.19,-8.26,0.21,-5.6
43.32,-0.04,-0.06,0.08,-8.26,0.21,-5.6
43.44,-0.06,0.0,-0.01,-8.27,0.21,-5.6
43.55,-0.07,0.02,-0.07,-8.27,0.21,-5.59
43.67,-0.08,-0.01,-0.1,-8.27,0.21,-5.59
43.79,-0.08,-0.03,-0.1,-8.27,0.21,-5.6
43.9,-0.07,-0.05,-0.04,-8.26,0.21,-5.59
44.02,-0.06,-0.07,0.04,-8.26,0.21,-5.59
44.13,-0.05,-0.05,0.11,-8.27,0.21,-5.59
44.25,-0.03,0.04,0.14,-8.27,0.22,-5.6
44.36,-0.03,0.11,0.14,-8.27,0.22,-5.6
44.48,-0.02,0.11,0.12,-8.27,0.22,-5.6
44.6,-0.03,0.07,0.09,-8.27,0.22,-5.6
44.71,-0.74,6.06,-8.05,-8.54,0.85,-5.6
44.83,-6.41,7.21,-33.35,-9.42,1.7,-5.64
44.94,-15.78,-23.16,-59.91,-9.95,1.06,-5.52
45.06,-25.02,-50.08,-62.87,-9.27,-1.0,-5.16
45.18,-24.76,-15.58,-33.88,-7.82,-3.3,-4.97
45.29,-8.86,50.01,4.96,-6.59,-4.5,-4.97
45.41,3.14,81.37,21.52,-6.68,-3.85,-5.07
45.52,4.58,68.61,20.09,-7.54,-2.35,-5.3
45.64,4.1,39.76,15.01,-8.1,-1.03,-5.52
45.76,2.56,16.0,8.22,-8.35,-0.18,-5.64
45.87,1.09,2.12,2.78,-8.4,0.23,-5.7
45.99,0.18,-3.93,-0.06,-8.37,0.33,-5.71
46.1,-0.22,-5.09,-1.0,-8.33,0.29,-5.7
46.22,-0.32,-3.98,-1.01,-8.28,0.2,-5.68
46.34,-0.27,-2.37,-0.67,-8.26,0.13,-5.66
46.45,-0.17,-1.07,-0.3,-8.25,0.09,-5.65
46.57,-0.1,-0.27,-0.04,-8.25,0.07,-5.64
46.68,-0.06,0.1,0.08,-8.25,0.07,-5.64
46.8,-0.04,0.18,0.12,-8.25,0.08,-5.64
46.92,-0.04,0.13,0.11,-8.25,0.08,-5.64
47.03,-0.04,0.04,0.07,-8.26,0.09,-5.63
47.15,-0.04,-0.03,0.03,-8.26,0.09,-5.63
47.26,-0.04,-0.07,0.03,-8.26,0.09,-5.63
47.38,-0.04,-0.08,0.05,-8.26,0.09,-5.63
47.49,-0.04,-0.07,0.03,-8.26,0.09,-5.62
47.61,-0.06,-0.07,0.0,-8.26,0.09,-5.62
47.72,-0.07,-0.07,0.01,-8.26,0.09,-5.62
47.84,-0.07,-0.06,0.02,-8.26,0.09,-5.62
47.96,-0.07,-0.05,0.03,-8.26,0.1,-5.61
48.07,-0.06,-0.03,0.04,-8.26,0.1,-5.61
48.19,-0.06,-0.01,0.05,-8.26,0.1,-5.62
48.31,-0.06,-0.01,0.04,-8.26,0.1,-5.62
48.42,-0.06,-0.01,0.04,-8.26,0.1,-5.62
48.54,-0.06,-0.01,0.04,-8.26,0.1,-5.62
48.65,-0.07,-0.02,0.02,-8.26,0.1,-5.62
48.77,-0.08,-0.0,-0.03,-8.26,0.1,-5.61
48.88,-0.08,0.01,-0.05,-8.26,0.1,-5.62
49.0,-0.07,0.02,-0.03,-8.26,0.09,-5.62
49.12,-0.08,0.03,-0.01,-8.26,0.09,-5.62
49.23,-0.08,0.02,0.0,-8.26,0.09,-5.62
49.35,-0.07,0.01,0.02,-8.26,0.1,-5.62
49.46,-0.06,-0.02,0.05,-8.26,0.1,-5.62
49.58,-0.05,-0.03,0.06,-8.26,0.1,-5.62
49.69,-0.06,-0.02,0.05,-8.26,0.1,-5.61
49.81,-0.07,-0.01,0.02,-8.26,0.1,-5.61
49.93,-0.07,-0.01,-0.01,-8.26,0.1,-5.61
50.04,-0.07,-0.01,-0.01,-8.26,0.1,-5.61
50.16,-0.06,0.01,-0.0,-8.26,0.1,-5.61
50.27,-0.06,0.01,0.01,-8.27,0.1,-5.61
50.39,-0.06,-0.0,0.02,-8.27,0.1,-5.61
50.51,-0.06,-0.01,0.03,-8.27,0.1,-5.62
50.62,-0.07,-0.01,0.02,-8.26,0.1,-5.62
50.74,-0.07,-0.01,0.0,-8.26,0.1,-5.62
50.85,-0.07,-0.01,-0.02,-8.26,0.1,-5.61
50.97,-0.07,0.0,-0.03,-8.26,0.1,-5.61
51.08,-0.06,0.03,-0.04,-8.27,0.1,-5.61
51.2,-0.06,0.04,-0.04,-8.27,0.1,-5.61
51.32,-0.07,0.04,-0.05,-8.26,0.1,-5.62
51.43,-0.08,0.03,-0.05,-8.26,0.1,-5.62
51.55,-0.08,0.01,-0.04,-8.27,0.1,-5.63
51.66,-0.08,-0.01,-0.02,-8.27,0.1,-5.62
51.78,-0.07,-0.03,-0.02,-8.27,0.1,-5.62
51.9,-0.06,-0.02,-0.01,-8.27,0.1,-5.62
52.01,-0.06,0.0,-0.01,-8.27,0.1,-5.61
52.13,-0.06,-0.0,-0.0,-8.27,0.1,-5.61
52.24,-0.06,-0.02,0.02,-8.27,0.1,-5.6
52.36,-0.07,-0.03,0.01,-8.27,0.11,-5.6
52.47,-0.08,-0.02,-0.01,-8.27,0.11,-5.61
52.59,-0.08,-0.01,0.0,-8.27,0.1,-5.62
52.71,-0.08,-0.0,0.02,-8.27,0.1,-5.61
52.82,-0.08,0.01,0.02,-8.27,0.1,-5.61
52.94,-0.08,0.03,0.01,-8.27,0.1,-5.61
53.05,-0.08,0.04,-0.01,-8.27,0.1,-5.62
53.17,-0.08,0.04,-0.01,-8.27,0.1,-5.62
53.29,-0.08,0.03,-0.01,-8.27,0.1,-5.62
53.4,-0.09,0.01,-0.01,-8.27,0.1,-5.61
53.52,-0.08,-0.01,-0.01,-8.26,0.1,-5.61
53.63,-0.08,-0.02,-0.02,-8.26,0.1,-5.61
53.75,-0.07,-0.02,-0.02,-8.26,0.1,-5.61
53.87,-0.07,-0.02,-0.01,-8.27,0.1,-5.61
53.98,-0.07,-0.02,-0.0,-8.27,0.1,-5.61
54.1,-0.07,-0.02,-0.01,-8.27,0.1,-5.6
54.21,-0.07,-0.05,0.01,-8.27,0.1,-5.6
54.33,-0.07,-0.07,0.01,-8.27,0.09,-5.61
54.45,-0.08,-0.05,-0.0,-8.27,0.09,-5.6
54.56,-0.08,-0.05,0.0,-8.27,0.09,-5.6
54.68,-0.08,-0.05,0.02,-8.27,0.1,-5.61
54.79,-0.07,-0.03,0.05,-8.27,0.1,-5.61
54.91,-0.06,-0.02,0.08,-8.27,0.1,-5.61
55.02,-0.06,-0.03,0.08,-8.26,0.1,-5.6
55.14,-0.07,-0.02,0.02,-8.26,0.11,-5.6
55.26,-0.08,-0.01,0.01,-8.27,0.11,-5.6
55.37,-0.1,0.02,0.01,-8.27,0.11,-5.6
55.49,-0.12,0.05,-0.03,-8.27,0.11,-5.6
55.6,-0.12,0.03,-0.03,-8.27,0.11,-5.6
55.72,-0.12,0.04,-0.04,-8.27,0.1,-5.6
55.83,-0.13,0.07,-0.11,-8.27,0.1,-5.6
55.95,-0.13,0.07,-0.17,-8.27,0.1,-5.6
56.07,-0.13,0.07,-0.18,-8.27,0.1,-5.6
56.18,-0.11,0.08,-0.14,-8.27,0.1,-5.6
56.3,-0.1,0.09,-0.09,-8.27,0.1,-5.61
56.41,-0.09,0.08,-0.07,-8.27,0.1,-5.61
56.53,-0.09,0.05,-0.07,-8.27,0.1,-5.61
56.65,-0.09,0.04,-0.05,-8.27,0.1,-5.6
56.76,-0.09,0.04,-0.04,-8.27,0.1,-5.6
56.88,-0.09,0.04,-0.03,-8.26,0.1,-5.61
56.99,-0.09,0.03,-0.03,-8.26,0.1,-5.61
57.11,-0.09,0.02,-0.03,-8.26,0.11,-5.61
57.22,-0.09,0.04,-0.04,-8.27,0.11,-5.61
57.34,-0.09,0.05,-0.06,-8.27,0.11,-5.61
57.46,-0.08,0.02,-0.03,-8.27,0.1,-5.61
57.57,-0.06,-0.0,0.03,-8.27,0.1,-5.6
57.69,-0.06,0.01,0.05,-8.27,0.1,-5.61
57.8,-0.07,0.02,0.02,-8.27,0.1,-5.61
57.92,-0.07,0.02,-0.01,-8.27,0.1,-5.61
58.04,-0.07,-0.01,-0.03,-8.27,0.1,-5.61
58.15,-0.07,-0.0,-0.05,-8.27,0.1,-5.61
58.27,-0.08,0.03,-0.07,-8.27,0.1,-5.61
58.38,-0.08,0.03,-0.08,-8.27,0.1,-5.61
58.5,-0.08,0.02,-0.06,-8.27,0.1,-5.61
58.61,-0.08,0.02,-0.03,-8.27,0.1,-5.61
58.73,-0.08,0.04,-0.02,-8.27,0.1,-5.61
58.85,-0.08,0.05,-0.03,-8.27,0.1,-5.61
58.96,-0.08,0.05,-0.04,-8.27,0.11,-5.61
59.08,-0.08,0.04,-0.03,-8.27,0.11,-5.61
59.19,-0.08,0.05,-0.02,-8.27,0.11,-5.6
59.31,-0.08,0.05,-0.02,-8.27,0.11,-5.6
59.42,-0.08,0.04,-0.02,-8.27,0.1,-5.6
59.54,-0.08,0.03,-0.01,-8.27,0.1,-5.6
