Time[s],RateRoll[deg/s],RatePitch[deg/s],RateYaw[deg/s],AccX[m/s^2],AccY[m/s^2],AccZ[m/s^2],Torque[Nm]
13.4,-0.03,0.05,-0.01,0.53,0.0,9.31,-0.75
13.42,-0.01,0.04,-0.0,0.53,-0.01,9.32,-0.48
13.44,0.0,0.05,-0.0,0.53,-0.01,9.33,-0.37
13.45,0.02,0.05,-0.02,0.54,-0.01,9.32,-0.4
13.47,0.03,0.04,-0.03,0.53,-0.01,9.31,-0.35
13.49,0.04,0.03,-0.04,0.52,-0.02,9.3,-0.04
13.51,0.04,0.03,-0.03,0.51,-0.02,9.31,0.37
13.53,0.04,0.04,-0.01,0.5,-0.02,9.32,0.72
13.54,0.02,0.04,0.0,0.51,-0.02,9.32,0.8
13.56,-0.01,0.02,0.0,0.51,-0.02,9.32,0.77
13.58,-0.05,0.01,-0.0,0.52,-0.03,9.32,0.84
13.6,-0.07,-0.01,-0.02,0.53,-0.02,9.3,1.1
13.61,-0.06,-0.03,-0.02,0.54,-0.0,9.29,1.35
13.63,-0.03,-0.04,-0.04,0.54,0.01,9.28,1.37
13.65,-0.01,-0.05,-0.05,0.54,0.01,9.27,1.15
13.67,-0.01,-0.04,-0.06,0.54,0.01,9.27,0.87
13.69,-0.01,-0.02,-0.07,0.54,0.0,9.27,0.77
13.71,-0.02,0.02,-0.07,0.54,0.0,9.27,0.8
13.72,-0.01,0.06,-0.07,0.54,0.01,9.28,0.74
13.74,0.0,0.08,-0.08,0.54,0.01,9.29,0.42
13.76,0.02,0.06,-0.08,0.55,0.02,9.3,0.0
13.78,0.04,0.03,-0.05,0.55,0.02,9.31,-0.32
13.79,0.05,0.01,-0.0,0.56,0.01,9.3,-0.4
13.81,0.04,-0.0,0.03,0.56,0.01,9.29,-0.37
13.83,0.01,0.0,0.04,0.55,0.0,9.3,-0.45
13.85,-0.02,0.03,0.04,0.54,-0.0,9.32,-0.72
13.86,-0.05,0.05,0.05,0.53,-0.0,9.33,-0.95
13.88,-0.07,0.03,0.04,0.53,-0.0,9.33,-0.96
13.9,-0.07,0.01,0.01,0.54,0.0,9.31,-0.73
13.92,-0.05,0.01,-0.03,0.55,0.0,9.29,-0.45
13.94,-0.06,0.02,-0.05,0.55,-0.0,9.28,-0.37
13.96,-0.07,0.03,-0.05,0.54,-0.0,9.28,-0.4
13.97,-0.05,0.03,-0.03,0.52,0.01,9.29,-0.33
13.99,-0.0,0.03,0.0,0.51,0.01,9.29,-0.02
14.01,0.05,0.03,0.02,0.51,0.02,9.3,0.42
14.03,0.09,0.02,0.01,0.51,0.02,9.3,0.73
14.05,0.11,0.01,0.01,0.53,0.01,9.31,0.8
14.06,0.11,0.0,0.03,0.55,0.0,9.32,0.77
14.08,0.09,0.02,0.03,0.56,-0.0,9.33,0.87
14.1,0.05,0.03,0.01,0.56,-0.01,9.33,1.13
14.12,0.02,0.02,-0.01,0.55,-0.02,9.34,1.36
14.14,-0.0,-0.0,-0.03,0.55,-0.02,9.35,1.35
14.15,-0.01,0.0,-0.05,0.54,-0.01,9.34,1.12
14.17,0.0,0.02,-0.07,0.53,-0.01,9.33,0.84
14.19,0.02,0.03,-0.08,0.53,-0.0,9.33,0.77
14.21,0.02,0.02,-0.07,0.54,0.0,9.31,0.8
14.22,0.01,0.0,-0.06,0.54,-0.0,9.3,0.72
14.24,-0.0,-0.02,-0.04,0.54,-0.01,9.3,0.4
14.26,0.0,-0.02,-0.0,0.54,-0.01,9.3,-0.04
14.28,0.01,-0.01,0.01,0.54,-0.01,9.31,-0.34
14.3,0.01,0.02,0.01,0.53,-0.01,9.32,-0.4
14.31,0.0,0.04,0.02,0.52,-0.01,9.33,-0.37
14.33,-0.0,0.03,0.02,0.5,-0.01,9.34,-0.47
14.35,0.01,0.01,0.02,0.49,-0.0,9.35,-0.75
14.37,0.04,0.0,0.02,0.49,0.0,9.35,-0.97
14.39,0.04,-0.01,0.01,0.5,0.0,9.35,-0.94
14.4,0.03,-0.0,-0.02,0.51,0.01,9.35,-0.7
14.42,0.01,0.01,-0.05,0.52,0.01,9.35,-0.43
14.44,-0.02,0.03,-0.06,0.53,0.01,9.34,-0.37
14.46,-0.05,0.03,-0.06,0.54,0.01,9.32,-0.4
14.48,-0.06,0.03,-0.05,0.55,-0.0,9.31,-0.31
14.49,-0.05,0.02,-0.03,0.55,-0.01,9.31,0.03
14.51,-0.03,0.03,-0.01,0.55,-0.01,9.3,0.47
14.53,0.0,0.04,0.01,0.54,-0.02,9.3,0.75
14.55,0.03,0.02,0.03,0.53,-0.01,9.31,0.8
14.56,0.05,0.01,0.02,0.53,-0.0,9.31,0.77
14.58,0.07,0.02,0.0,0.53,-0.0,9.32,0.88
14.6,0.08,0.03,-0.01,0.53,-0.01,9.32,1.17
14.62,0.08,0.04,-0.01,0.53,-0.01,9.32,1.38
14.64,0.07,0.05,0.0,0.54,-0.02,9.31,1.33
14.65,0.05,0.06,0.02,0.53,-0.02,9.3,1.08
14.67,0.04,0.07,0.01,0.53,-0.01,9.29,0.83
14.69,0.0,0.05,0.0,0.53,-0.01,9.29,0.77
14.71,-0.04,0.01,0.01,0.52,-0.0,9.29,0.8
14.73,-0.06,-0.03,0.01,0.52,-0.0,9.31,0.7
14.74,-0.06,-0.05,0.02,0.52,-0.0,9.32,0.35
14.76,-0.06,-0.06,0.01,0.5,-0.0,9.32,-0.07
14.78,-0.06,-0.06,0.01,0.5,-0.0,9.32,-0.36
14.8,-0.05,-0.04,0.01,0.5,0.01,9.31,-0.39
14.82,-0.04,-0.01,-0.01,0.52,0.02,9.3,-0.37
14.83,-0.05,0.01,-0.02,0.53,0.03,9.28,-0.49
14.85,-0.07,0.03,-0.0,0.54,0.03,9.27,-0.78
14.87,-0.09,0.04,-0.0,0.54,0.03,9.26,-0.98
14.89,-0.08,0.04,0.01,0.54,0.03,9.26,-0.93
14.9,-0.06,0.05,0.03,0.54,0.03,9.27,-0.67
14.92,-0.04,0.04,0.04,0.53,0.02,9.26,-0.43
14.94,-0.02,0.02,0.02,0.52,0.03,9.26,-0.37
14.96,-0.0,0.01,0.0,0.51,0.02,9.27,-0.4
14.98,0.02,0.01,0.0,0.51,0.01,9.29,-0.28
15.0,0.04,0.02,0.02,0.52,0.0,9.29,0.08
15.01,0.04,0.02,0.03,0.54,0.0,9.29,0.49
15.03,0.01,0.01,0.03,0.54,-0.0,9.29,0.77
15.05,-0.03,-0.01,0.04,0.55,-0.01,9.3,0.79
15.07,-0.05,-0.03,0.06,0.55,-0.01,9.31,0.77
15.08,-0.06,-0.03,0.08,0.56,-0.01,9.32,0.9
15.1,-0.06,-0.01,0.07,0.57,0.0,9.33,1.18
15.12,-0.06,0.01,0.04,0.58,0.01,9.33,1.39
15.14,-0.06,0.0,-0.0,0.57,0.02,9.32,1.32
15.16,-0.06,-0.0,-0.03,0.56,0.01,9.32,1.05
15.17,-0.06,-0.0,-0.05,0.54,0.0,9.33,0.82
15.19,-0.05,0.0,-0.06,0.53,0.0,9.33,0.77
15.21,-0.04,0.02,-0.07,0.54,-0.0,9.32,0.8
15.23,-0.04,0.03,-0.07,0.55,-0.0,9.31,0.68
15.25,-0.03,0.01,-0.06,0.56,-0.0,9.31,0.3
15.26,-0.03,-0.0,-0.03,0.57,-0.01,9.31,-0.11
15.28,-0.02,-0.02,-0.0,0.56,-0.01,9.31,-0.37
15.3,-0.0,-0.02,0.01,0.55,-0.02,9.31,-0.39
15.32,0.0,-0.02,-0.0,0.55,-0.01,9.32,-0.37
15.34,-0.01,-0.02,-0.01,0.54,-0.0,9.35,-0.51
15.35,-0.01,-0.01,0.0,0.53,0.0,9.37,-0.8
15.37,0.0,-0.01,0.03,0.52,-0.0,9.37,-0.99
15.39,0.02,-0.01,0.05,0.52,-0.01,9.36,-0.91
15.41,0.04,-0.0,0.04,0.52,-0.01,9.35,-0.64
15.43,0.06,-0.01,0.0,0.51,-0.01,9.34,-0.41
15.44,0.07,-0.02,-0.03,0.5,-0.01,9.34,-0.37
15.46,0.06,0.0,-0.04,0.5,-0.01,9.34,-0.4
15.48,0.06,0.03,-0.05,0.51,-0.01,9.34,-0.27
15.5,0.05,0.03,-0.05,0.53,-0.0,9.33,0.12
15.51,0.03,0.01,-0.03,0.53,0.0,9.34,0.53
15.53,0.01,0.0,-0.01,0.53,0.01,9.34,0.78
15.55,0.01,0.01,0.0,0.53,0.01,9.35,0.79
15.57,0.0,0.02,0.01,0.54,0.01,9.36,0.77
15.59,0.0,0.02,0.03,0.55,0.0,9.35,0.93
15.6,0.01,0.02,0.05,0.54,-0.01,9.34,1.22
15.62,0.01,0.02,0.06,0.54,-0.02,9.33,1.4
15.64,0.01,0.01,0.06,0.55,-0.01,9.32,1.3
15.66,0.01,0.0,0.05,0.55,-0.01,9.31,1.04
15.68,0.02,-0.01,0.04,0.53,0.01,9.3,0.8
15.69,0.04,-0.02,0.01,0.53,0.02,9.31,0.77
15.71,0.07,-0.02,-0.02,0.53,0.02,9.32,0.8
15.73,0.09,0.01,-0.05,0.55,0.03,9.33,0.65
15.75,0.08,0.04,-0.06,0.55,0.03,9.31,0.25
15.77,0.06,0.06,-0.06,0.55,0.04,9.3,-0.15
15.78,0.03,0.06,-0.06,0.55,0.04,9.28,-0.38
15.8,-0.01,0.05,-0.06,0.55,0.03,9.27,-0.39
15.82,-0.02,0.05,-0.04,0.55,0.02,9.26,-0.38
15.84,-0.01,0.05,-0.04,0.54,0.02,9.25,-0.54
15.85,0.01,0.04,-0.03,0.53,0.02,9.25,-0.83
15.87,0.01,0.03,-0.01,0.53,0.01,9.26,-1.0
15.89,0.01,0.02,0.01,0.54,-0.0,9.29,-0.89
15.91,0.01,-0.0,0.02,0.54,-0.0,9.32,-0.62
15.93,-0.0,-0.0,0.04,0.54,0.0,9.34,-0.4
15.94,-0.0,0.02,0.06,0.54,0.0,9.34,-0.37
15.96,0.0,0.04,0.07,0.53,0.01,9.34,-0.39
15.98,-0.01,0.03,0.09,0.52,0.01,9.34,-0.24
16.0,-0.02,-0.0,0.1,0.51,0.01,9.34,0.15
16.02,-0.03,-0.04,0.09,0.52,0.0,9.33,0.57
16.03,-0.02,-0.07,0.06,0.53,-0.0,9.32,0.78
16.05,-0.01,-0.08,0.01,0.53,0.0,9.31,0.78
16.07,0.0,-0.09,-0.01,0.54,0.01,9.31,0.78
16.09,0.02,-0.09,-0.01,0.54,0.01,9.31,0.96
16.11,0.02,-0.07,0.0,0.54,0.0,9.3,1.25
16.12,0.02,-0.04,0.02,0.53,-0.0,9.31,1.4
16.14,0.01,-0.02,0.03,0.52,0.0,9.31,1.27
16.16,0.02,-0.01,0.04,0.51,0.01,9.32,1.0
16.18,0.01,0.01,0.04,0.51,0.01,9.32,0.79
16.19,-0.02,0.02,0.04,0.52,0.0,9.33,0.78
16.21,-0.03,0.04,0.03,0.53,-0.0,9.33,0.79
16.23,-0.01,0.05,0.02,0.54,-0.0,9.32,0.62
16.25,0.0,0.04,0.03,0.54,-0.0,9.31,0.23
16.27,0.01,0.02,0.03,0.53,-0.0,9.31,-0.19
16.28,0.01,0.0,0.04,0.53,-0.0,9.31,-0.39
16.3,0.01,-0.0,0.05,0.54,-0.01,9.31,-0.38
16.32,0.01,0.0,0.05,0.54,-0.01,9.32,-0.38
16.34,0.02,-0.0,0.04,0.55,-0.0,9.34,-0.56
16.36,0.01,-0.0,0.04,0.55,0.01,9.34,-0.86
16.37,-0.01,0.03,0.05,0.55,0.01,9.34,-1.0
16.39,-0.03,0.05,0.05,0.55,0.01,9.34,-0.86
16.41,-0.03,0.05,0.02,0.55,0.01,9.34,-0.59
16.43,-0.02,0.04,-0.0,0.55,0.01,9.35,-0.38
16.45,-0.03,0.01,-0.01,0.55,0.01,9.35,-0.38
16.46,-0.03,-0.0,-0.01,0.55,0.02,9.35,-0.39
16.48,-0.04,0.01,-0.01,0.55,0.02,9.34,-0.21
16.5,-0.05,0.02,-0.02,0.55,0.02,9.33,0.2
16.52,-0.03,0.01,-0.01,0.55,0.02,9.32,0.61
16.54,-0.0,0.01,-0.0,0.55,0.02,9.3,0.79
16.55,0.0,0.03,0.01,0.54,0.01,9.29,0.78
16.57,0.01,0.04,0.03,0.54,-0.0,9.3,0.79
16.59,0.01,0.03,0.04,0.53,-0.02,9.32,0.97
16.61,-0.01,0.01,0.03,0.53,-0.03,9.33,1.27
16.62,-0.02,0.01,0.02,0.54,-0.03,9.34,1.4
16.64,-0.01,0.01,0.0,0.55,-0.02,9.34,1.25
16.66,0.02,0.0,-0.01,0.55,-0.01,9.32,0.97
16.68,0.02,0.01,-0.01,0.55,-0.01,9.31,0.78
16.7,0.02,0.03,0.02,0.54,-0.02,9.31,0.78
16.71,0.04,0.04,0.03,0.55,-0.02,9.32,0.79
16.73,0.07,0.03,0.03,0.55,-0.02,9.33,0.59
16.75,0.07,0.03,0.02,0.54,-0.02,9.33,0.17
16.77,0.05,0.03,0.01,0.54,-0.02,9.33,-0.22
16.79,0.01,0.02,-0.0,0.53,-0.01,9.33,-0.39
