Time[s],RateRoll[°/s],RatePitch[°/s],RateYaw[°/s],AccX[m/s^2],AccY[m/s^2],AccZ[m/s^2]
4.04,0.01,0.11,0.01,-8.04,-0.27,-6.08
4.06,-0.0,-0.08,0.01,-8.03,-0.27,-6.07
4.09,-0.02,-0.01,-0.01,-8.04,-0.27,-6.07
4.11,-0.0,0.05,-0.01,-8.04,-0.26,-6.08
4.13,-0.02,0.01,-0.02,-8.03,-0.27,-6.08
4.16,-0.02,0.02,-0.01,-8.02,-0.26,-6.08
4.18,-0.03,-0.01,0.01,-8.03,-0.26,-6.1
4.21,-0.03,0.08,-0.01,-8.03,-0.26,-6.07
4.23,-0.02,-0.02,0.01,-8.03,-0.25,-6.07
4.25,-0.03,-0.05,0.02,-8.03,-0.24,-6.07
4.28,-0.0,0.04,0.01,-8.04,-0.26,-6.07
4.3,-0.03,-0.01,-0.02,-8.03,-0.26,-6.08
4.33,-0.02,-0.05,0.01,-8.03,-0.25,-6.07
4.35,-0.0,-0.02,-0.02,-8.03,-0.26,-6.08
4.38,-0.03,0.08,-0.01,-8.05,-0.26,-6.07
4.4,0.01,-0.02,-0.01,-8.03,-0.25,-6.06
4.42,0.01,-0.01,-0.01,-8.02,-0.25,-6.07
4.45,-0.0,-0.05,-0.02,-8.05,-0.25,-6.09
4.47,-0.0,0.11,-0.01,-8.04,-0.26,-6.09
4.5,0.01,0.07,-0.01,-8.03,-0.25,-6.08
4.52,-0.02,-0.05,0.02,-8.04,-0.26,-6.08
4.55,0.01,0.04,-0.02,-8.03,-0.25,-6.07
4.57,0.01,0.07,-0.02,-8.02,-0.26,-6.07
4.59,0.01,-0.04,-0.01,-8.02,-0.27,-6.08
4.62,-0.02,-0.04,0.02,-8.03,-0.27,-6.06
4.64,-0.0,0.02,-0.01,-8.03,-0.27,-6.08
4.67,-0.0,0.07,-0.02,-8.02,-0.26,-6.09
4.69,-0.02,-0.15,-0.02,-8.04,-0.26,-6.08
4.71,-0.02,-0.01,0.01,-8.05,-0.25,-6.07
4.74,-0.0,0.07,-0.02,-8.03,-0.27,-6.08
4.76,0.01,0.02,-0.01,-8.04,-0.27,-6.08
4.79,-0.02,-0.04,-0.01,-8.03,-0.26,-6.1
4.81,0.01,-0.02,0.02,-8.03,-0.27,-6.08
4.84,-0.0,-0.01,-0.02,-8.03,-0.27,-6.08
4.86,-0.0,0.02,-0.02,-8.02,-0.27,-6.07
4.88,-0.0,-0.02,0.02,-8.02,-0.27,-6.05
4.91,-0.0,-0.05,0.02,-8.03,-0.27,-6.08
4.93,0.01,0.07,-0.01,-8.02,-0.26,-6.07
4.96,-0.0,-0.01,0.01,-8.03,-0.27,-6.09
4.98,0.01,-0.07,0.01,-8.04,-0.25,-6.08
5.0,0.01,0.07,-0.01,-8.04,-0.25,-6.07
5.03,0.01,-0.01,-0.02,-8.04,-0.25,-6.07
5.05,-0.03,-0.02,-0.01,-8.04,-0.26,-6.06
5.08,0.01,0.04,-0.01,-8.04,-0.26,-6.06
5.1,-0.02,-0.13,-0.01,-8.04,-0.27,-6.07
5.13,0.03,0.05,-0.01,-8.02,-0.27,-6.07
5.15,-0.05,0.02,-0.02,-8.04,-0.25,-6.08
5.17,-0.02,-0.01,0.02,-8.03,-0.26,-6.08
5.2,-0.0,0.08,-0.02,-8.04,-0.25,-6.07
5.22,-0.0,-0.08,-0.02,-8.04,-0.26,-6.06
5.25,0.03,-0.02,-0.04,-8.03,-0.26,-6.07
5.27,-0.0,0.02,-0.05,-8.03,-0.27,-6.06
5.3,-0.02,0.08,0.01,-8.04,-0.27,-6.1
5.32,0.01,0.04,-0.01,-8.04,-0.26,-6.1
5.34,-0.0,-0.07,0.01,-8.03,-0.25,-6.08
5.37,-0.0,-0.01,0.02,-8.03,-0.25,-6.07
5.39,-0.02,0.07,-0.05,-8.03,-0.24,-6.08
5.42,-0.02,-0.04,0.01,-8.03,-0.25,-6.07
5.44,0.03,-0.08,0.02,-8.05,-0.26,-6.06
5.46,-0.0,0.08,0.01,-8.04,-0.27,-6.07
5.49,0.01,-0.04,-0.02,-8.04,-0.25,-6.07
5.51,-0.0,-0.01,-0.01,-8.04,-0.25,-6.08
5.54,-0.02,0.02,-0.01,-8.03,-0.25,-6.07
5.56,-0.0,0.01,0.01,-8.04,-0.26,-6.07
5.58,-0.02,-0.04,-0.04,-8.03,-0.27,-6.07
5.61,0.03,0.07,-0.01,-8.04,-0.26,-6.1
5.63,0.01,0.05,-0.01,-8.04,-0.26,-6.07
5.66,0.01,-0.05,-0.02,-8.03,-0.25,-6.07
5.68,-0.0,0.01,-0.02,-8.04,-0.26,-6.08
5.71,-0.0,0.01,-0.01,-8.04,-0.27,-6.09
5.73,-0.02,0.01,-0.01,-8.03,-0.25,-6.07
5.75,-0.05,-0.02,-0.01,-8.05,-0.25,-6.06
5.78,0.03,0.02,0.01,-8.04,-0.25,-6.07
5.8,0.01,-0.02,0.02,-8.04,-0.24,-6.07
5.82,0.03,-0.01,0.01,-8.04,-0.26,-6.07
5.85,0.01,-0.05,0.01,-8.02,-0.26,-6.08
5.87,-0.0,0.05,-0.02,-8.04,-0.27,-6.06
5.9,-0.02,0.01,-0.01,-8.05,-0.25,-6.07
5.92,0.04,-0.05,-0.01,-8.02,-0.25,-6.05
5.95,-0.02,0.01,0.01,-8.04,-0.26,-6.07
5.97,-0.0,0.01,0.04,-8.03,-0.26,-6.07
5.99,-0.0,-0.01,-0.01,-8.03,-0.25,-6.07
6.02,0.01,-0.07,-0.02,-8.04,-0.25,-6.07
6.04,0.01,0.04,-0.01,-8.04,-0.27,-6.08
6.07,-0.0,-0.01,-0.01,-8.04,-0.26,-6.04
6.09,-0.0,-0.04,-0.01,-8.04,-0.26,-6.08
6.11,-0.0,0.04,-0.01,-8.03,-0.27,-6.06
6.14,-0.0,0.02,-0.01,-8.02,-0.27,-6.07
6.16,0.01,-0.07,-0.01,-8.04,-0.27,-6.07
6.19,-0.02,-0.01,0.01,-8.03,-0.25,-6.09
6.21,-0.02,0.02,0.01,-8.02,-0.26,-6.06
6.24,-0.02,-0.02,0.01,-8.04,-0.26,-6.07
6.26,-0.0,0.01,0.02,-8.04,-0.26,-6.06
6.28,-0.0,0.01,-0.01,-8.04,-0.25,-6.08
6.31,0.03,-0.04,-0.04,-8.03,-0.26,-6.09
6.33,-0.0,0.01,-0.01,-8.03,-0.27,-6.08
6.36,-0.0,0.02,0.04,-8.03,-0.26,-6.07
6.38,0.01,0.04,0.02,-8.04,-0.26,-6.08
6.41,-0.0,-0.07,0.01,-8.03,-0.25,-6.07
6.43,-0.03,0.02,0.01,-8.03,-0.25,-6.07
6.45,-0.0,0.07,-0.01,-8.03,-0.26,-6.08
6.48,-0.0,-0.05,0.01,-8.03,-0.27,-6.09
6.5,0.01,-0.1,0.01,-8.04,-0.26,-6.09
6.53,0.01,0.05,-0.02,-8.04,-0.26,-6.07
6.55,-0.0,0.1,-0.01,-8.01,-0.27,-6.08
6.57,-0.0,-0.07,0.02,-8.03,-0.26,-6.08
6.6,-0.0,-0.15,0.01,-8.03,-0.27,-6.06
6.62,-0.0,0.11,-0.01,-8.04,-0.25,-6.05
6.65,-0.0,0.02,-0.02,-8.04,-0.27,-6.09
6.67,0.01,-0.13,-0.01,-8.04,-0.26,-6.07
6.69,-0.02,-0.02,-0.02,-8.04,-0.26,-6.05
6.72,-0.0,0.08,0.01,-8.03,-0.26,-6.07
6.74,-0.0,0.02,0.02,-8.04,-0.27,-6.06
6.77,-0.0,-0.1,-0.01,-8.03,-0.27,-6.08
6.79,-0.0,-0.01,0.01,-8.05,-0.27,-6.08
6.82,-0.03,0.05,-0.01,-8.04,-0.26,-6.09
6.84,-0.0,0.02,-0.02,-8.03,-0.26,-6.07
6.86,-0.0,-0.05,0.01,-8.04,-0.26,-6.08
6.89,-0.02,0.04,-0.01,-8.04,-0.26,-6.07
6.91,-0.0,-0.01,0.02,-8.03,-0.26,-6.07
6.94,-0.02,0.01,0.02,-8.03,-0.26,-6.09
6.96,-0.02,0.02,0.04,-8.03,-0.25,-6.09
6.98,0.01,-0.01,-0.01,-8.04,-0.25,-6.09
7.01,0.01,0.07,-0.01,-8.04,-0.25,-6.08
7.03,0.01,0.02,-0.01,-8.04,-0.25,-6.09
7.06,-0.02,-0.04,-0.01,-8.04,-0.26,-6.08
7.08,0.01,0.04,-0.01,-8.03,-0.26,-6.07
7.11,-0.0,-0.01,0.02,-8.04,-0.26,-6.06
7.13,0.01,-0.02,-0.02,-8.04,-0.26,-6.07
7.15,-0.02,0.01,-0.01,-8.03,-0.26,-6.05
7.18,0.01,-0.05,-0.01,-8.05,-0.26,-6.05
7.2,-0.02,0.02,0.01,-8.02,-0.26,-6.04
7.23,-0.0,0.04,-0.01,-8.03,-0.26,-6.07
7.25,-0.02,-0.05,-0.01,-8.03,-0.27,-6.07
7.27,0.03,0.02,0.02,-8.04,-0.25,-6.08
7.3,-0.0,0.11,0.02,-8.03,-0.27,-6.05
7.32,-0.0,0.02,0.01,-8.02,-0.26,-6.07
7.35,-0.02,-0.12,0.01,-8.05,-0.27,-6.08
7.37,-0.0,-0.02,0.04,-8.04,-0.25,-6.07
7.4,-0.0,0.14,0.01,-8.03,-0.25,-6.07
7.42,-0.02,-0.04,0.01,-8.05,-0.25,-6.08
7.44,-0.02,-0.16,-0.01,-8.04,-0.26,-6.08
7.47,-0.02,0.14,-0.01,-8.05,-0.26,-6.08
7.49,-0.0,0.07,0.01,-8.04,-0.24,-6.08
7.52,0.01,-0.22,-0.01,-8.04,-0.26,-6.07
7.54,0.01,0.04,-0.01,-8.04,-0.26,-6.06
7.56,0.03,0.19,-0.01,-8.03,-0.25,-6.07
7.59,-0.02,-0.07,0.04,-8.04,-0.26,-6.07
7.61,-0.02,-0.13,-0.02,-8.02,-0.25,-6.08
7.64,0.01,0.19,-0.04,-8.03,-0.26,-6.08
7.66,-0.0,-0.01,0.01,-8.05,-0.26,-6.07
7.69,-0.02,-0.12,-0.02,-8.04,-0.27,-6.07
7.71,-0.03,-0.04,-0.04,-8.04,-0.28,-6.06
7.73,0.01,0.1,-0.05,-8.02,-0.25,-6.08
7.76,0.03,-0.01,-0.02,-8.02,-0.26,-6.08
7.78,-0.0,-0.01,-0.01,-8.01,-0.25,-6.09
7.8,0.01,0.02,-0.01,-8.03,-0.26,-6.07
7.83,-0.02,0.08,-0.02,-8.03,-0.26,-6.08
7.85,-0.0,0.01,-0.01,-8.04,-0.26,-6.08
7.88,-0.02,-0.12,0.04,-8.04,-0.26,-6.07
7.9,-0.03,0.05,0.02,-8.04,-0.24,-6.07
7.93,-0.0,0.04,0.02,-8.05,-0.26,-6.08
7.95,-0.03,-0.07,0.02,-8.04,-0.24,-6.08
7.97,-0.02,0.01,-0.01,-8.04,-0.25,-6.06
8.0,0.01,0.07,0.02,-8.04,-0.27,-6.06
8.02,-0.0,-0.07,-0.01,-8.05,-0.26,-6.08
8.05,-0.02,-0.08,-0.01,-8.03,-0.25,-6.07
8.07,-0.02,0.1,0.02,-8.04,-0.27,-6.07
8.1,0.01,0.02,-0.02,-8.03,-0.26,-6.07
8.12,-0.02,-0.1,0.01,-8.03,-0.26,-6.03
8.14,-0.0,-0.02,0.01,-8.03,-0.25,-6.07
8.17,-0.0,0.04,-0.01,-8.03,-0.26,-6.07
8.19,-0.0,-0.02,0.02,-8.03,-0.27,-6.08
8.22,0.01,-0.02,0.02,-8.04,-0.26,-6.06
8.24,0.01,0.02,0.01,-8.04,-0.26,-6.05
8.26,0.01,0.05,0.02,-8.03,-0.26,-6.05
8.29,-0.0,-0.08,0.01,-8.04,-0.26,-6.07
8.31,0.01,0.04,-0.01,-8.03,-0.26,-6.05
8.34,0.01,0.08,-0.04,-8.02,-0.25,-6.07
8.36,0.03,-0.04,-0.02,-8.04,-0.26,-6.07
8.38,-0.02,0.05,0.02,-8.03,-0.26,-6.06
8.41,0.01,0.11,0.01,-8.05,-0.26,-6.06
8.43,0.01,-0.01,-0.01,-8.04,-0.26,-6.06
8.46,-0.0,-0.01,-0.01,-8.03,-0.27,-6.07
8.48,0.01,0.02,0.01,-8.03,-0.26,-6.07
8.51,-0.02,0.05,-0.02,-8.03,-0.27,-6.06
8.53,-0.02,-0.08,0.01,-8.03,-0.25,-6.07
8.55,-0.0,-0.02,0.02,-8.03,-0.27,-6.08
8.58,-0.02,0.08,0.02,-8.03,-0.26,-6.08
8.6,-0.02,0.02,0.02,-8.03,-0.27,-6.07
8.63,-0.03,-0.05,0.01,-8.04,-0.26,-6.06
8.65,-0.02,0.02,-0.04,-8.04,-0.26,-6.04
8.67,-0.02,0.07,0.01,-8.01,-0.25,-6.07
8.7,-0.0,-0.04,0.01,-8.05,-0.24,-6.08
8.72,-0.0,0.01,-0.01,-8.04,-0.27,-6.08
8.75,0.01,0.07,-0.02,-8.04,-0.27,-6.07
8.77,0.01,0.02,0.02,-8.03,-0.26,-6.07
8.79,-0.0,-0.01,0.02,-8.03,-0.27,-6.08
8.82,0.01,0.04,0.02,-8.02,-0.24,-6.06
8.84,-0.02,-0.04,0.02,-8.03,-0.25,-6.07
8.87,0.01,-0.01,0.04,-8.04,-0.25,-6.09
8.89,0.01,0.02,0.01,-8.04,-0.25,-6.09
8.91,0.01,-0.01,0.02,-8.02,-0.25,-6.08
8.94,0.03,-0.01,-0.01,-8.05,-0.24,-6.07
8.96,0.03,-0.04,0.01,-8.05,-0.25,-6.07
8.99,0.03,-0.01,-0.01,-8.04,-0.25,-6.09
9.01,0.01,0.04,-0.02,-8.04,-0.26,-6.08
9.03,-0.0,-0.01,0.01,-8.03,-0.26,-6.08
9.06,-0.02,-0.07,-0.02,-8.03,-0.26,-6.07
9.08,0.01,0.02,-0.04,-8.03,-0.27,-6.11
9.11,-0.0,0.07,-0.02,-8.03,-0.25,-6.06
9.13,-0.03,-0.15,0.01,-8.03,-0.26,-6.06
9.15,-0.02,-0.04,-0.01,-8.03,-0.25,-6.05
9.18,-0.02,0.08,0.01,-8.04,-0.25,-6.05
9.2,-0.0,0.02,0.01,-8.03,-0.25,-6.06
9.23,-0.02,-0.08,0.04,-8.02,-0.25,-6.05
9.25,-0.02,0.04,-0.01,-8.03,-0.26,-6.06
9.28,0.01,0.07,-0.01,-8.03,-0.26,-6.07
9.3,-0.0,0.02,0.01,-8.04,-0.26,-6.07
9.32,-0.0,0.01,-0.02,-8.04,-0.27,-6.05
9.35,-0.02,0.05,-0.02,-8.04,-0.26,-6.08
9.37,-0.02,0.04,-0.02,-8.04,-0.25,-6.08
9.4,0.03,-0.01,-0.01,-8.03,-0.26,-6.07
9.42,0.01,-0.01,-0.01,-8.03,-0.26,-6.05
9.44,-0.0,0.08,0.01,-8.04,-0.25,-6.05
9.47,0.03,-0.1,0.02,-8.03,-0.26,-6.05
9.49,0.01,-0.07,0.02,-8.04,-0.26,-6.06
9.52,-0.0,0.1,-0.01,-8.03,-0.25,-6.07
9.54,-0.0,0.04,-0.01,-8.04,-0.26,-6.09
9.57,-0.03,-0.07,0.02,-8.03,-0.27,-6.07
9.59,-0.03,-0.02,0.04,-8.04,-0.27,-6.04
9.61,0.01,0.05,0.02,-8.03,-0.26,-6.07
9.64,0.01,-0.07,-0.01,-8.03,-0.25,-6.05
9.66,0.01,0.05,0.02,-8.03,-0.27,-6.06
9.69,0.01,0.01,0.04,-8.04,-0.25,-6.06
9.71,0.01,0.01,0.02,-8.04,-0.25,-6.07
9.73,0.01,-0.01,0.02,-8.04,-0.25,-6.08
9.76,-0.03,0.07,0.02,-8.02,-0.26,-6.07
9.78,-0.05,-0.02,0.04,-8.03,-0.26,-6.06
9.81,-0.02,-0.04,0.01,-8.03,-0.26,-6.05
9.83,-0.0,-0.01,-0.01,-8.04,-0.26,-6.09
9.85,0.01,0.01,0.02,-8.03,-0.24,-6.08
9.88,0.03,0.08,0.02,-8.03,-0.25,-6.07
9.9,0.01,-0.04,0.01,-8.04,-0.26,-6.07
9.93,0.01,-0.07,0.01,-8.03,-0.26,-6.06
9.95,-0.0,0.07,-0.01,-8.03,-0.27,-6.05
9.97,-0.02,0.04,-0.01,-8.03,-0.27,-6.07
10.0,-0.02,-0.13,0.01,-8.03,-0.25,-6.06
10.02,0.01,0.02,0.01,-8.04,-0.25,-6.05
10.05,-0.0,0.04,0.01,-8.04,-0.25,-6.05
10.07,0.01,-0.04,0.01,-8.05,-0.26,-6.08
10.1,0.03,-0.01,0.01,-8.03,-0.26,-6.06
10.12,-0.02,0.02,-0.01,-8.05,-0.25,-6.04
10.14,0.01,0.05,-0.01,-8.04,-0.27,-6.09
10.17,0.03,-0.01,-0.01,-8.03,-0.25,-6.07
10.19,-0.02,0.01,-0.02,-8.04,-0.26,-6.08
10.22,-0.0,0.04,0.01,-8.04,-0.26,-6.07
10.24,-0.02,0.01,0.01,-8.03,-0.26,-6.06
10.27,-0.0,0.01,0.04,-8.03,-0.26,-6.06
10.29,-0.02,0.04,0.02,-8.04,-0.26,-6.06
10.31,-0.0,-0.05,0.02,-8.05,-0.25,-6.09
10.34,-0.02,0.07,-0.01,-8.04,-0.27,-6.06
10.36,-0.03,0.02,-0.01,-8.03,-0.27,-6.07
10.39,-0.02,-0.02,0.02,-8.03,-0.26,-6.08
10.41,0.03,0.04,-0.01,-8.05,-0.27,-6.07
10.44,-0.0,0.04,0.01,-8.03,-0.27,-6.08
10.46,0.03,-0.02,0.01,-8.03,-0.27,-6.06
10.48,-0.03,0.05,-0.01,-8.02,-0.27,-6.08
10.51,-0.05,0.01,0.02,-8.03,-0.25,-6.09
10.53,0.01,0.01,0.02,-8.04,-0.27,-6.07
10.56,0.01,0.04,0.02,-8.03,-0.27,-6.06
10.58,-0.02,-0.02,0.01,-8.03,-0.26,-6.08
10.6,-0.0,0.01,0.01,-8.02,-0.26,-6.06
10.63,-0.0,0.01,0.04,-8.04,-0.27,-6.05
10.65,-0.02,0.01,0.02,-8.03,-0.26,-6.07
10.68,0.01,0.05,-0.02,-8.03,-0.26,-6.07
10.7,-0.0,-0.02,0.01,-8.02,-0.26,-6.08
10.73,-0.03,-0.02,0.01,-8.04,-0.25,-6.07
10.75,-0.03,0.02,-0.02,-8.02,-0.24,-6.06
10.77,-0.02,0.07,-0.01,-8.02,-0.26,-6.05
10.8,-0.0,-0.05,-0.02,-8.03,-0.26,-6.06
10.82,0.03,-0.01,-0.02,-8.03,-0.27,-6.06
10.85,0.01,0.11,-0.04,-8.03,-0.25,-6.08
10.87,-0.02,-0.04,-0.02,-8.04,-0.26,-6.06
