Time[s],RateRoll[°/s],RatePitch[°/s],RateYaw[°/s],AccX[m/s^2],AccY[m/s^2],AccZ[m/s^2]
20.7,-0.08,0.01,-0.03,-8.19,-0.19,-5.76
20.81,-0.09,0.02,-0.03,-8.19,-0.19,-5.75
20.93,-0.09,0.02,-0.02,-8.2,-0.19,-5.75
21.05,-0.08,0.01,-0.03,-8.2,-0.19,-5.75
21.16,-0.08,-0.01,-0.03,-8.2,-0.19,-5.75
21.28,-0.07,-0.02,-0.02,-8.2,-0.19,-5.75
21.39,-0.07,-0.02,-0.0,-8.2,-0.19,-5.75
21.51,-0.07,-0.01,-0.0,-8.2,-0.19,-5.75
21.63,-0.07,-0.01,-0.0,-8.19,-0.18,-5.75
21.74,-0.08,-0.0,-0.0,-8.19,-0.18,-5.75
21.86,-0.09,-0.01,0.0,-8.19,-0.19,-5.75
21.97,-0.09,-0.01,0.0,-8.19,-0.19,-5.75
22.09,-0.09,0.0,0.0,-8.19,-0.18,-5.75
22.21,-0.09,0.01,0.0,-8.2,-0.18,-5.76
22.32,-0.09,0.01,-0.0,-8.2,-0.18,-5.76
22.44,-0.08,0.0,-0.01,-8.2,-0.18,-5.76
22.55,-0.07,0.0,-0.01,-8.2,-0.18,-5.76
22.67,-0.07,0.0,0.0,-8.2,-0.18,-5.76
22.79,-0.07,-0.0,0.01,-8.19,-0.18,-5.75
22.9,-0.07,-0.01,0.02,-8.19,-0.19,-5.75
23.02,-0.08,-0.01,0.01,-8.2,-0.19,-5.75
23.13,-0.08,-0.01,-0.0,-8.2,-0.19,-5.74
23.25,-0.08,-0.0,-0.01,-8.2,-0.18,-5.74
23.37,-0.08,0.0,-0.0,-8.19,-0.18,-5.74
23.48,-0.07,0.0,0.0,-8.19,-0.18,-5.74
23.6,-0.07,0.0,0.01,-8.19,-0.19,-5.74
23.71,-0.07,0.01,0.01,-8.19,-0.19,-5.75
23.83,-0.06,0.01,0.01,-8.19,-0.18,-5.76
23.95,-0.06,0.02,0.0,-8.19,-0.18,-5.76
24.06,-0.07,0.01,-0.01,-8.19,-0.18,-5.76
24.18,-0.08,0.01,-0.02,-8.19,-0.19,-5.76
24.29,-0.08,0.01,-0.02,-8.19,-0.19,-5.75
24.41,-0.08,0.0,-0.02,-8.19,-0.19,-5.74
24.52,-0.08,-0.01,-0.01,-8.19,-0.19,-5.74
24.64,-0.08,-0.01,-0.01,-8.19,-0.19,-5.74
24.76,-0.08,0.0,0.0,-8.19,-0.19,-5.74
24.87,-0.07,0.01,0.01,-8.2,-0.18,-5.74
24.99,-0.08,0.01,0.01,-8.2,-0.18,-5.74
25.1,-0.08,0.02,0.01,-8.2,-0.18,-5.75
25.22,-0.09,0.02,0.01,-8.2,-0.18,-5.75
25.34,-0.09,0.03,-0.01,-8.2,-0.19,-5.75
25.45,-0.1,0.03,-0.01,-8.2,-0.19,-5.75
25.57,-0.09,0.01,-0.01,-8.2,-0.19,-5.75
25.68,-0.08,0.0,-0.01,-8.2,-0.19,-5.74
25.8,-0.07,-0.01,-0.0,-8.2,-0.19,-5.74
25.92,-0.07,-0.03,0.02,-8.19,-0.19,-5.74
26.03,-0.07,-0.03,0.03,-8.2,-0.19,-5.75
26.15,-0.08,-0.02,0.02,-8.2,-0.19,-5.75
26.26,-0.08,0.0,0.01,-8.2,-0.19,-5.76
26.38,-0.08,0.02,-0.01,-8.2,-0.19,-5.75
26.5,-0.08,0.02,-0.02,-8.2,-0.19,-5.75
26.61,-0.08,0.03,-0.02,-8.2,-0.18,-5.75
26.73,-0.07,0.03,-0.02,-8.2,-0.18,-5.75
26.84,-0.07,0.03,-0.02,-8.2,-0.18,-5.75
26.96,-0.07,0.01,-0.02,-8.2,-0.18,-5.75
27.08,-0.08,-0.01,-0.01,-8.2,-0.18,-5.75
27.19,-0.08,-0.02,0.0,-8.2,-0.18,-5.75
27.31,-0.08,-0.03,0.01,-8.2,-0.19,-5.75
27.42,-0.08,-0.01,-0.0,-8.2,-0.19,-5.75
27.54,-0.08,0.01,-0.0,-8.2,-0.19,-5.76
27.66,-0.08,0.02,0.0,-8.2,-0.19,-5.76
27.77,-0.07,0.01,0.0,-8.19,-0.19,-5.76
27.89,-0.07,0.01,0.0,-8.19,-0.19,-5.76
28.0,-0.07,0.02,0.0,-8.19,-0.18,-5.75
28.12,-0.08,0.02,-0.0,-8.2,-0.18,-5.74
28.24,-0.08,0.01,-0.01,-8.2,-0.18,-5.74
28.35,-0.08,0.01,-0.01,-8.2,-0.18,-5.74
28.47,-0.08,0.02,-0.02,-8.2,-0.18,-5.75
28.58,-0.08,0.03,-0.03,-8.2,-0.18,-5.75
28.7,-0.08,0.03,-0.04,-8.21,-0.18,-5.76
28.82,-0.08,0.03,-0.03,-8.21,-0.19,-5.76
28.93,-0.08,0.03,-0.03,-8.21,-0.19,-5.75
29.05,-0.08,0.02,-0.03,-8.21,-0.19,-5.75
29.16,-0.08,0.02,-0.02,-8.2,-0.19,-5.75
29.28,-0.07,0.01,-0.01,-8.2,-0.19,-5.75
29.4,-0.07,-0.01,-0.01,-8.2,-0.18,-5.76
29.51,-0.07,-0.02,-0.01,-8.2,-0.19,-5.76
29.63,-0.06,-0.02,-0.01,-8.2,-0.19,-5.76
29.75,-0.06,-0.02,-0.0,-8.2,-0.19,-5.76
29.86,-0.07,-0.01,-0.0,-8.2,-0.19,-5.75
29.98,-0.07,0.0,-0.01,-8.2,-0.19,-5.75
30.09,-0.07,0.0,-0.02,-8.2,-0.19,-5.75
30.21,-0.07,-0.0,-0.02,-8.2,-0.19,-5.74
30.32,-0.08,-0.0,-0.02,-8.2,-0.19,-5.74
30.44,-0.08,0.01,-0.02,-8.2,-0.19,-5.75
30.56,-0.08,0.02,-0.01,-8.2,-0.19,-5.75
30.67,-0.08,0.01,0.01,-8.2,-0.19,-5.75
30.79,-0.08,0.0,0.01,-8.2,-0.19,-5.75
30.9,-0.08,0.01,-0.0,-8.2,-0.19,-5.75
31.02,-0.08,0.02,-0.01,-8.2,-0.19,-5.75
31.14,-0.08,0.03,-0.01,-8.19,-0.19,-5.74
31.25,-0.09,0.03,-0.01,-8.2,-0.19,-5.74
31.37,-0.09,0.03,-0.01,-8.2,-0.19,-5.74
31.48,-0.08,0.03,-0.01,-8.19,-0.18,-5.74
31.6,-0.08,0.02,-0.01,-8.19,-0.18,-5.74
31.72,-0.07,0.0,-0.01,-8.19,-0.18,-5.74
31.83,-0.06,-0.01,-0.0,-8.19,-0.18,-5.74
31.95,-0.07,-0.01,-0.01,-8.19,-0.18,-5.75
32.06,-0.08,-0.01,-0.01,-8.2,-0.18,-5.75
32.18,-0.08,-0.01,-0.01,-8.2,-0.19,-5.75
32.3,-0.08,-0.0,-0.01,-8.2,-0.19,-5.75
32.41,-0.08,0.01,-0.01,-8.2,-0.18,-5.75
32.53,-0.08,0.02,-0.0,-8.2,-0.18,-5.74
32.65,-0.08,0.03,-0.01,-8.19,-0.18,-5.74
32.76,-0.08,0.03,-0.01,-8.19,-0.18,-5.73
32.88,-0.08,0.03,-0.02,-8.19,-0.18,-5.73
32.99,-0.08,0.03,-0.02,-8.19,-0.18,-5.72
33.11,-0.07,0.02,-0.01,-8.2,-0.18,-5.73
33.23,-0.07,0.01,-0.01,-8.2,-0.18,-5.73
33.34,-0.07,0.01,-0.02,-8.2,-0.18,-5.74
33.46,-0.07,0.01,-0.03,-8.2,-0.18,-5.74
33.57,-0.08,0.02,-0.02,-8.2,-0.18,-5.74
33.69,-0.09,0.02,-0.01,-8.2,-0.19,-5.75
33.81,-0.1,0.03,-0.0,-8.2,-0.19,-5.75
33.92,-0.09,0.04,0.0,-8.2,-0.19,-5.75
34.04,-0.09,0.04,-0.0,-8.2,-0.19,-5.75
34.15,-0.08,0.04,-0.01,-8.2,-0.18,-5.75
34.27,-0.07,0.03,-0.01,-8.2,-0.18,-5.75
34.38,-0.07,0.02,-0.01,-8.2,-0.18,-5.75
34.5,-0.08,0.02,-0.0,-8.2,-0.18,-5.75
34.62,-0.08,0.02,0.0,-8.19,-0.18,-5.76
34.73,-0.08,0.02,0.0,-8.19,-0.18,-5.76
34.85,-0.07,0.02,0.0,-8.19,-0.18,-5.75
34.97,-0.08,0.03,0.0,-8.19,-0.18,-5.75
35.08,-0.08,0.03,-0.01,-8.2,-0.19,-5.74
35.2,-0.08,0.04,-0.01,-8.2,-0.19,-5.74
35.31,-0.08,0.03,-0.0,-8.2,-0.19,-5.74
35.43,-0.07,0.02,0.0,-8.2,-0.19,-5.74
35.54,-0.06,-0.01,0.02,-8.2,-0.19,-5.74
35.66,-0.06,-0.02,0.04,-8.2,-0.19,-5.74
35.78,-0.07,-0.01,0.01,-8.21,-0.19,-5.74
35.89,-0.09,0.03,-0.04,-8.21,-0.19,-5.75
36.01,-0.09,0.05,-0.07,-8.21,-0.19,-5.75
36.13,-0.09,0.04,-0.05,-8.21,-0.19,-5.75
36.24,-0.07,0.0,-0.0,-8.21,-0.18,-5.75
36.36,-0.06,-0.01,0.03,-8.2,-0.18,-5.75
36.47,-0.05,0.0,0.03,-8.2,-0.18,-5.75
36.59,-0.05,0.0,0.02,-8.2,-0.18,-5.75
36.71,-0.05,-0.0,0.01,-8.2,-0.18,-5.75
36.82,-0.07,-0.0,-0.01,-8.2,-0.18,-5.75
36.94,-0.08,-0.0,-0.02,-8.2,-0.18,-5.74
37.05,-0.08,0.0,-0.02,-8.2,-0.18,-5.74
37.17,-0.08,0.02,-0.02,-8.2,-0.18,-5.73
37.28,-0.08,0.02,-0.03,-8.2,-0.18,-5.73
37.4,-0.08,0.02,-0.01,-8.19,-0.18,-5.74
37.52,-0.08,0.03,-0.01,-8.2,-0.18,-5.74
37.63,-0.08,0.04,-0.02,-8.2,-0.18,-5.75
37.75,-0.09,0.03,-0.02,-8.2,-0.18,-5.75
37.87,-0.08,0.04,-0.03,-8.2,-0.18,-5.75
37.98,-0.08,0.05,-0.05,-8.2,-0.18,-5.75
38.1,-0.07,0.06,-0.06,-8.2,-0.19,-5.74
38.21,-0.07,0.07,-0.08,-8.2,-0.18,-5.74
38.33,-0.06,0.06,-0.07,-8.2,-0.18,-5.74
38.45,-0.06,0.04,-0.04,-8.2,-0.19,-5.74
38.56,-0.07,0.03,-0.05,-8.2,-0.19,-5.74
38.68,-0.08,0.04,-0.07,-8.2,-0.19,-5.75
38.79,-0.08,0.04,-0.05,-8.2,-0.18,-5.75
38.91,-0.09,0.02,-0.05,-8.2,-0.18,-5.75
39.02,-0.09,0.02,-0.05,-8.2,-0.18,-5.75
39.14,-0.08,0.02,-0.01,-8.2,-0.18,-5.74
39.26,-0.07,-0.0,0.02,-8.2,-0.18,-5.74
39.37,-0.07,-0.0,0.01,-8.2,-0.18,-5.74
39.49,-0.07,-0.0,-0.0,-8.2,-0.18,-5.74
39.61,-0.07,0.0,-0.01,-8.2,-0.18,-5.74
39.72,-0.08,0.01,-0.01,-8.2,-0.19,-5.74
39.84,-0.08,0.01,-0.01,-8.2,-0.19,-5.75
39.95,-0.07,0.01,-0.01,-8.2,-0.19,-5.75
40.07,-0.07,0.01,-0.01,-8.2,-0.19,-5.75
40.18,-0.08,0.02,-0.02,-8.2,-0.19,-5.75
40.3,-0.09,0.03,-0.02,-8.21,-0.19,-5.75
40.42,-0.09,0.03,-0.02,-8.2,-0.19,-5.74
40.53,-0.1,0.02,-0.02,-8.2,-0.19,-5.74
40.65,-0.1,0.01,-0.0,-8.2,-0.19,-5.73
40.77,-0.08,0.02,0.02,-8.2,-0.19,-5.74
40.88,-0.06,0.02,0.03,-8.2,-0.19,-5.75
41.0,-0.05,0.02,0.02,-8.2,-0.19,-5.75
41.11,-0.05,0.03,-0.0,-8.2,-0.18,-5.75
41.23,-0.06,0.04,-0.03,-8.2,-0.18,-5.75
41.35,-0.05,0.04,-0.04,-8.2,-0.18,-5.74
41.46,-0.06,0.03,-0.05,-8.19,-0.18,-5.74
41.58,-0.07,0.03,-0.03,-8.2,-0.19,-5.74
41.69,-0.08,0.03,-0.04,-8.2,-0.19,-5.74
41.81,-0.08,0.03,-0.05,-8.2,-0.19,-5.74
41.92,-0.08,0.02,-0.05,-8.19,-0.19,-5.74
42.04,-0.08,0.02,-0.04,-8.19,-0.19,-5.75
42.16,-0.08,0.01,-0.04,-8.19,-0.19,-5.75
42.27,-0.09,0.02,-0.03,-8.2,-0.19,-5.75
42.39,-0.09,0.02,-0.03,-8.2,-0.18,-5.75
42.5,-0.09,0.02,-0.03,-8.2,-0.18,-5.75
42.62,-0.09,0.01,-0.03,-8.2,-0.18,-5.74
42.74,-0.09,-0.0,-0.02,-8.2,-0.18,-5.74
42.85,-0.09,-0.0,-0.01,-8.2,-0.18,-5.74
42.97,-0.09,0.02,-0.01,-8.2,-0.18,-5.74
43.08,-0.09,0.04,0.0,-8.2,-0.19,-5.74
43.2,-0.08,0.02,0.02,-8.2,-0.19,-5.74
43.32,-0.07,0.0,0.02,-8.2,-0.19,-5.74
43.43,-0.08,-0.0,0.02,-8.2,-0.19,-5.74
43.55,-0.08,-0.0,0.01,-8.2,-0.19,-5.74
43.66,-0.08,0.01,0.01,-8.2,-0.19,-5.74
43.78,-0.07,0.01,0.02,-8.21,-0.19,-5.74
43.9,-0.07,0.01,0.01,-8.2,-0.19,-5.74
44.01,-0.07,-0.02,-0.01,-8.2,-0.19,-5.74
44.13,-0.07,-0.0,-0.02,-8.2,-0.19,-5.74
44.24,-0.09,0.04,-0.06,-8.2,-0.19,-5.74
44.36,-0.1,0.04,-0.09,-8.2,-0.19,-5.75
44.48,-0.1,0.03,-0.07,-8.2,-0.18,-5.74
44.59,-0.1,0.03,-0.04,-8.2,-0.18,-5.74
44.71,-0.1,0.04,-0.03,-8.2,-0.18,-5.74
44.82,-0.09,0.04,-0.02,-8.2,-0.18,-5.74
44.94,-0.08,0.03,-0.01,-8.2,-0.19,-5.74
45.06,-0.07,0.01,0.0,-8.2,-0.19,-5.74
45.17,-0.07,-0.0,0.0,-8.2,-0.18,-5.74
45.29,-0.07,-0.02,0.01,-8.2,-0.18,-5.74
45.4,-0.07,-0.03,0.02,-8.2,-0.18,-5.74
45.52,-0.07,-0.03,0.03,-8.2,-0.18,-5.74
45.63,-0.07,-0.02,0.03,-8.2,-0.18,-5.74
45.75,-0.08,0.01,0.01,-8.2,-0.18,-5.74
45.87,-0.09,0.03,-0.01,-8.2,-0.18,-5.74
45.98,-0.09,0.05,-0.02,-8.2,-0.18,-5.75
46.1,-0.08,0.05,-0.03,-8.2,-0.19,-5.75
46.22,-0.07,0.04,-0.02,-8.2,-0.19,-5.75
46.33,-0.08,0.02,-0.01,-8.2,-0.19,-5.74
46.45,-0.08,0.02,-0.02,-8.2,-0.19,-5.74
46.56,-0.08,0.01,-0.01,-8.2,-0.18,-5.74
46.68,-0.07,0.01,0.01,-8.2,-0.18,-5.74
46.79,-0.07,0.01,0.01,-8.2,-0.18,-5.74
46.91,-0.07,0.01,0.0,-8.2,-0.18,-5.74
47.03,-0.07,-0.0,-0.0,-8.2,-0.18,-5.74
47.14,-0.07,-0.01,-0.01,-8.2,-0.18,-5.75
47.26,-0.07,-0.02,-0.01,-8.2,-0.18,-5.74
47.38,-0.07,-0.01,-0.0,-8.21,-0.18,-5.74
47.49,-0.06,0.01,-0.0,-8.21,-0.19,-5.74
47.61,-0.06,0.02,-0.01,-8.21,-0.19,-5.74
47.72,-0.07,0.02,-0.02,-8.21,-0.18,-5.74
47.84,-0.07,0.01,-0.03,-8.2,-0.18,-5.74
47.96,-0.06,0.02,-0.03,-8.2,-0.18,-5.75
48.07,-0.06,0.03,-0.03,-8.2,-0.18,-5.74
48.19,-0.07,0.04,-0.03,-8.2,-0.18,-5.74
48.3,-0.08,0.05,-0.04,-8.2,-0.18,-5.75
48.42,-0.08,0.05,-0.04,-8.2,-0.18,-5.75
48.54,-0.08,0.03,-0.03,-8.2,-0.18,-5.75
48.65,-0.08,0.02,-0.03,-8.2,-0.17,-5.75
48.77,-0.08,0.03,-0.03,-8.2,-0.17,-5.74
48.88,-0.08,0.05,-0.05,-8.2,-0.17,-5.74
49.0,-0.08,0.05,-0.06,-8.2,-0.18,-5.74
49.12,-0.07,0.02,-0.02,-8.19,-0.18,-5.74
49.23,-0.07,-0.01,0.03,-8.19,-0.18,-5.74
49.35,-0.07,-0.01,0.03,-8.2,-0.19,-5.74
49.46,-0.08,0.0,-0.01,-8.2,-0.19,-5.74
49.58,-0.09,0.01,-0.02,-8.2,-0.19,-5.74
49.7,-0.08,0.01,-0.02,-8.2,-0.19,-5.75
49.81,-0.07,0.01,-0.02,-8.2,-0.19,-5.75
49.93,-0.07,0.02,-0.02,-8.21,-0.19,-5.75
50.04,-0.07,0.03,-0.02,-8.2,-0.19,-5.74
50.16,-0.08,0.05,-0.05,-8.2,-0.18,-5.74
50.28,-0.08,0.03,-0.04,-8.2,-0.18,-5.75
50.39,-0.07,0.0,0.0,-8.2,-0.18,-5.75
50.51,-0.06,0.0,0.02,-8.2,-0.18,-5.74
50.62,-0.06,0.02,0.02,-8.2,-0.18,-5.73
50.74,-0.07,0.02,0.01,-8.2,-0.18,-5.73
50.85,-0.07,0.03,-0.01,-8.2,-0.19,-5.72
50.97,-0.06,0.04,-0.02,-8.2,-0.19,-5.73
51.09,-0.06,0.03,-0.03,-8.2,-0.19,-5.73
51.2,-0.06,0.03,-0.03,-8.19,-0.19,-5.73
51.32,-0.06,0.02,-0.02,-8.19,-0.19,-5.73
51.44,-0.06,0.01,0.0,-8.19,-0.19,-5.74
51.55,-0.07,0.01,0.01,-8.2,-0.19,-5.74
51.67,-0.08,0.02,0.01,-8.2,-0.19,-5.75
51.78,-0.08,0.01,0.02,-8.2,-0.18,-5.75
51.9,-0.08,0.01,0.02,-8.2,-0.18,-5.75
52.01,-0.08,0.01,0.02,-8.2,-0.18,-5.75
52.13,-0.07,0.01,0.02,-8.2,-0.18,-5.74
52.25,-0.07,0.02,0.01,-8.2,-0.18,-5.73
52.36,-0.08,0.02,0.0,-8.2,-0.18,-5.73
52.48,-0.08,0.02,-0.01,-8.2,-0.18,-5.73
52.59,-0.08,0.01,-0.01,-8.21,-0.18,-5.73
52.71,-0.08,-0.0,-0.02,-8.21,-0.19,-5.74
52.83,-0.08,0.01,-0.02,-8.21,-0.19,-5.74
52.94,-0.07,0.03,-0.03,-8.2,-0.19,-5.74
53.06,-0.07,0.04,-0.03,-8.2,-0.19,-5.74
53.17,-0.07,0.03,-0.02,-8.2,-0.19,-5.74
53.29,-0.07,0.02,-0.01,-8.2,-0.19,-5.75
53.4,-0.08,0.01,-0.01,-8.2,-0.18,-5.74
53.52,-0.08,0.0,0.0,-8.19,-0.18,-5.74
53.64,-0.07,0.0,-0.0,-8.19,-0.18,-5.74
53.75,-0.06,0.0,-0.01,-8.19,-0.18,-5.74
53.87,-0.06,0.01,-0.01,-8.2,-0.19,-5.74
53.99,-0.06,0.02,-0.01,-8.2,-0.19,-5.74
54.1,-0.06,0.03,-0.01,-8.2,-0.19,-5.74
54.22,-0.06,0.03,-0.02,-8.2,-0.18,-5.74
54.33,-0.07,0.03,-0.03,-8.2,-0.18,-5.74
54.45,-0.06,-0.0,0.0,-8.21,-0.18,-5.74
54.56,-0.05,-0.03,0.04,-8.21,-0.18,-5.74
54.68,-0.06,-0.02,0.03,-8.2,-0.19,-5.74
54.8,-0.07,0.0,0.02,-8.2,-0.19,-5.74
54.91,-0.07,0.02,0.01,-8.2,-0.19,-5.75
55.03,-0.08,0.03,-0.01,-8.2,-0.19,-5.75
55.15,-0.09,0.03,-0.02,-8.2,-0.19,-5.74
55.26,-0.09,0.03,-0.03,-8.2,-0.19,-5.74
55.38,-0.09,0.03,-0.03,-8.2,-0.19,-5.74
55.49,-0.09,0.03,-0.03,-8.2,-0.19,-5.74
55.61,-0.09,0.02,-0.03,-8.2,-0.19,-5.74
55.72,-0.08,0.01,-0.02,-8.2,-0.19,-5.74
55.84,-0.07,0.0,-0.01,-8.2,-0.18,-5.74
55.96,-0.07,-0.0,0.01,-8.2,-0.18,-5.74
56.07,-0.08,-0.01,0.02,-8.2,-0.18,-5.74
56.19,-0.08,0.0,0.01,-8.2,-0.18,-5.73
56.3,-0.08,0.01,-0.0,-8.2,-0.18,-5.73
56.42,-0.08,0.02,-0.01,-8.2,-0.18,-5.73
56.54,-0.07,0.02,-0.0,-8.2,-0.18,-5.74
56.65,-0.07,0.01,0.0,-8.2,-0.19,-5.74
56.77,-0.08,-0.0,-0.0,-8.2,-0.19,-5.74
56.88,-0.08,-0.01,0.0,-8.2,-0.19,-5.74
57.0,-0.08,-0.0,0.0,-8.21,-0.19,-5.75
57.12,-0.08,0.01,0.0,-8.21,-0.19,-5.75
57.23,-0.09,0.02,-0.01,-8.21,-0.19,-5.75
57.35,-0.09,0.02,-0.01,-8.2,-0.18,-5.75
57.46,-0.07,0.01,-0.0,-8.2,-0.18,-5.74
57.58,-0.06,0.01,0.01,-8.2,-0.18,-5.74
57.7,-0.07,0.02,0.01,-8.2,-0.18,-5.73
57.81,-0.07,0.02,-0.0,-8.2,-0.18,-5.73
57.93,-0.08,0.02,-0.02,-8.19,-0.18,-5.74
58.04,-0.09,0.02,-0.02,-8.19,-0.18,-5.74
58.16,-0.08,0.03,-0.02,-8.19,-0.18,-5.74
58.28,-0.08,0.03,-0.02,-8.2,-0.18,-5.74
58.39,-0.08,0.01,-0.03,-8.2,-0.18,-5.75
58.51,-0.08,0.01,-0.02,-8.2,-0.18,-5.75
